1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	<eps> PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP <eps> <eps> <eps>	_
3765	COCO ADV PREP DET NMS PREFP ADV AUX ADV ADJ	<eps> ADV PREP DET NMS PREFP ADV AUX ADV ADJ	_
3766	PPER3FS AUX ADV ADV VPPFS PREP	<eps> <eps> COSUB ADV VPPMS PREP	_
3767	PREP DINTMS ADV ADJMS DETMS NMS PPER3MS PPOBJMS VERB PDEMMS PREP NMS PREP DETMS NMS DETMS DETMS NMS PREL VERB ADV PROPN XFAMIL VERB DET NFP ADV PREP DETFS NFS PPER3MS ADV VERB PREP DETFS NFS PPER3MS ADV VERB ADV DETMS NMS ADJMS PREP NMS PREP DETFS NFS PPER3MS VERB PINDMS VERB PREP ADV COSUB PPER3FS AUX DINTMS ADJMS NMS	<eps> DINTMS ADV ADJMS DETMS NMS PPER3MS PPOBJMS VERB PDEMMS NMS <eps> PREP DETMS NMS DETMS DETMS NMS PREL VERB ADV PROPN XFAMIL VERB DET NFP ADV PREP DETFS NFS PPER3MS ADV VERB PREP DETFS NFS <eps> ADV VERB ADV DETMS NMS ADJMS PREP NMS PREP DETFS NFS <eps> VPPMS PINDMS VERB PREP ADV COSUB PPER3FS AUX DINTMS ADJMS NMS	_
3768	ADJFS AUX DET NFS	ADJFS AUX DET NFS	_
3769	PROPN ADV PPER1S VERB VERB ADV PPOBJMS VERB PREP VERB DETMS NMS ADJMS COCO DETMS NMS PREP DETMS DET NFP PREP PROPN XFAMIL	COCO <eps> PPER1S <eps> VERB ADV PPOBJMS VERB PREP VERB DETMS NMS ADJMS COCO DET NMP PREP DETFS DET NFP PREP PROPN XFAMIL	_
3770	PINDMS VERB DETFS NFS PREP NFS PREP PROPN XFAMIL XFAMIL XFAMIL ADV AUX ADV ADJMS PREP DETFS NFS PPER3MS VERB COSUB PDEMMS ADV AUX ADV AUX DINTFS NFS	PINDMS VERB DETFS NFS PREP NFS PREP PROPN XFAMIL XFAMIL XFAMIL ADV AUX ADV ADJMS PREP DETFS NFS PPER3MP VERB COSUB PDEMMS ADV AUX ADV AUX DINTFS NFS	_
3771	PREP DET PREP DET PREP DET NFS COCO COCO VERB NFS DET NFP PREL PREFP PPOBJMS VERB	PREP DET PREP DET PREP DET NFS COCO AUX VPPMS NMS DET NFP PREL PREFP <eps> VERB	_
3772	PDEMMS NMS AUX PDEMMS NMS PREP PROPN XFAMIL PREP PREF VERB ADV	PDEMMS NMS AUX PDEMMS NMS PREP PROPN XFAMIL <eps> XFAMIL VERB ADV	_
3773	PPER1S VERB COSUB PDEMMS ADV AUX ADV ADV ADJMS PREP CHIF NMP PREP DETFS NFS PREP DINTFS NFS ADJFS	PPER1S VERB COSUB PDEMMS ADV AUX ADV ADV ADJMS PREP CHIF NMP PREP DETFS NFS PREP DINTFS NFS ADJFS	_
3774	PREP VERB VERB DINTMS ADJMS NMS <eps> COCO PREP VERB DETMS NMS PREP DINTFS NFS PPER3MS AUX ADV DETMS NMS PREP PPOBJMS VERB	PREP VERB VERB DINTMS ADJMS NMS PREP COCO PREP VERB DETMS NMS PREP DINTFS NFS PPER3MS VERB ADV DETMS NMS PREP PPOBJMS VERB	_
3775	ADV PREP DETMS NMS PPER3MS VERB COSUB DET NFS AUX ADJFS PPER3MS VERB COSUB PINDMS VERB PROPN XFAMIL <eps> VERB COSUB PINDMS AUX VERB PREP PROPN XFAMIL	<eps> PREP DETMS NMS PPER3MS VERB COSUB DET NFS AUX ADJFS PPER3MS VERB COSUB PINDMS VERB PROPN XFAMIL PPER3MS VERB ADV PINDMS AUX VERB PREP PROPN XFAMIL	_
3776	COCO PPER3MS VERB COSUB ADV PINDMS AUX DET NMP PREP PDEMFS NFS	<eps> PPER3MS VERB COSUB ADV PINDMS AUX DET NMP PREP PDEMFS NFS	_
3777	INTJ PROPN XFAMIL VERB NFS PREP PROPN ADJFS DET PROPN ADJMS NMS PREP NFS PREP DET NMP PREP DETMS ADJMS NMS	<eps> PROPN XFAMIL VERB <eps> PREP PROPN VERB DET NMP ADJMP NMP PREP NFS PREP DET NMP PREP DETMS ADJMS NMS	_
3778	PROPN XFAMIL AUX VPPMS PREP NFS PREP PROPN NMS	PROPN XFAMIL AUX VPPMS PREP NFS PREP PROPN NMS	_
3779	PPER3MS PREF VERB PREP PROPN XFAMIL PREP NFS COCO PROPN PREP DETMS PROPN PREP PROPN ADV PPER3MS AUX VPPMS DETMS NMS DET NFP DETMS NMS ADJMS AUX ADV VPPMS DINTMS NMS PREP NMS DET NMP PREP DETFS NFS PPER3MS VERB DINTMS NMS PREP DETFS NFS PREP NMS PREP PROPN PUNCT	<eps> PREF VERB PREP PROPN XFAMIL PREP NFS <eps> PROPN PREP DETMS NMS <eps> PROPN ADV PPER3MS AUX VPPMS DETMS NMS PPOBJMS VERB DETMS NMS ADJMS <eps> ADV VERB DINTMS NMS PREP NMS DET NMP PREP DETFS NFS PPER3MS VERB DINTMS NMS PREP DETFS NFS PREP NMS PREP PROPN <eps>	_
3780	PPER1S PPOBJMS VERB ADV PREP DET NMS	<eps> PROPN VERB ADV PREP DET NMS	_
3781	PPER1S PREFS VERB PREP DET NMS PREP DET NMS	<eps> PROPN VERB PREP DET NMS PREP DET NMS	_
3782	COCO PREP DET NFP	<eps> PREP DET NFP	_
3783	DETFS ADJFS NFS PREL VERB DETFS ADJFS	<eps> ADJFS NFS PREL VERB PREP NMS	_
3784	PDEMMS AUX PREP NMS	<eps> <eps> <eps> VERB	_
3785	COSUB PREFP VERB VERB DET NFP PREP DET NFP	<eps> PREFP VERB VERB DET NFP PREP DET NFP	_
3786	COCO COSUB PREFP <eps> VERB DETFS NFS PREP DETFS NFS	<eps> COSUB PREFP ADV VERB DETFS NFS PREP DETFS NFS	_
3787	COSUB PREFP VERB DETFS NFS PREP DETFS NFS	DET NMP <eps> DETFS NFS PREP DETFS NFS	_
3788	COCO COSUB PREFP ADV VERB ADV DET NFP PREP PDEMFS NFS	COCO COSUB PREFP ADV VERB ADV DET NFP PREP PDEMFS NFS	_
3789	PDEMMS AUX PREFP NMS PREP PROPN PREL VERB	<eps> <eps> PREFP VERB PREP PROPN PREL VERB	_
3790	COCO DET NFP	<eps> DET NFP	_
3791	VERB ADV PPOBJMS VERB	<eps> ADV DET NFP	_
3792	DINTMS ADV ADV ADV DETMS NMS PREP DETFS NFS AUX VPPMS PREP DET NMS DET NMP PREP DET NFS PROPN PREP PROPN PREP NOUN PREP PROPN PROPN XFAMIL	<eps> ADV ADV ADV DETMS NMS PREP DETFS NFS AUX VPPMS PREP DET NMS DET NMP PREP DET NFS PROPN PREP PROPN <eps> <eps> PREP CHIF <eps> <eps>	_
3793	PPER3MP PPOBJMS AUX VPPMS PREP VERB DET NFS VPPFS PREP NMS ADJMS PREP VERB DET NMS	<eps> PPOBJMS AUX VPPMS PREP VERB DET NFS VPPFS PREP NMS ADJMS PREP VERB DET NMS	_
3794	PPER3MS PPOBJMS VERB ADV DINTMS NMS DETFS NFS PREP DINTMS NMS ADJMS VERB NMS PREP DINTFS NFS DINTMS NMS ADV VERB CHIF CHIF CHIF CHIF NFP	PPER3MS PPOBJMS VERB ADV DINTMS NMS DETFS NFS PREP DINTMS NMS ADJMS VERB NMS PREP DINTFS NFS DINTMS NMS ADV VERB CHIF NMP CHIF CHIF NFP	_
3795	PPER1S PREFP VERB PREP VERB DETMS NMS ADJMS PROPN XFAMIL XFAMIL PREP NMS PREP PROPN XFAMIL COCO PROPN XFAMIL	<eps> PREFP VERB PREP VERB DETMS NMS PROPN PREP <eps> PROPN PREP NMS PREP PROPN XFAMIL COCO DET NFS	_
3796	INTJ NMS AUX ADJMS PREP VERB PDEMFS NFS ADV ADV ADV COSUB PREFP PDEMMS VERB CHIF NMP COSUB PINDMS PPOBJFS VERB ADV CHIF NMP PREP VERB PREP DINTFS NFS PREFP VERB PREFS VERB COSUB PDEMMS AUX	INTJ NMS AUX ADJMS PREP VERB PDEMFS NFS ADV ADV ADV COSUB PREFP PDEMMS VERB CHIF NMP COSUB <eps> DETFS NFS ADV CHIF NMP PREP VERB PREP DINTFS NFS PREFP VERB PREFS VERB COSUB PDEMMS AUX	_
3797	DINTMS DINTFS NFS ADV PREP NMS ADJFS PUNCT PREP VERB DINTMS NMS COCO ADV PREP VERB DINTFS NFS <eps> <eps> PINDMS VERB PPOBJMS VERB ADV DETMS NMS	DINTMS DINTFS NFS ADV PREP NMS ADJMS NMS PREP VERB DINTMS NMS COCO ADV PREP VERB DINTFS NFS ADV COSUB PINDMS VERB PPOBJMS VERB ADV DETMS NMS	_
3798	DETMS NMS COSUB PPER3MS AUX NMS COCO COSUB ADV PPER3MS AUX VPPMS COCO COSUB PDEMMS AUX PROPN XFAMIL PREL AUX VPPMS ADV PRON PREL PINDMS VERB VERB PREP ADJMS NMS PREP DETFS NFS	ADV <eps> COSUB PPER3MS AUX NMS ADV <eps> ADV PPER3MS AUX VPPMS COCO COSUB PDEMMS AUX PROPN XFAMIL PREL AUX VPPMS ADV PRON PREL PINDMS VERB VERB PREP ADJMS NMS PREP DETFS NFS	_
3799	VERB ADV PDEMMS AUX PREP ADJMS VERB PREP PROPN PREP VERB PREP VERB DET NFS PREP PROPN PUNCT AUX ADV ADJFS COSUB PDEMMS	<eps> ADV PDEMMS AUX PREP ADJMS VERB PREP PROPN PREP VERB PREP VERB DET NFS PREP PROPN XFAMIL <eps> <eps> <eps> COSUB PDEMMS	_
3800	PROPN XFAMIL PPOBJMS AUX VPPMS PREP DET ADJMP NMP PREP DET NFS ADJFS PREP DET NFS PREP DETFS PROPN PREP NMS PREP DET NFS ADJFS PDEMMS NMS PPER3MS AUX VPPMS PINDMS PREP DET NMP PREP NFS PREP PDEMFS NFS DETMS X MOTINC MOTINC PUNCT	<eps> PROPN PPOBJMS AUX VPPMS PREP DET ADJMP NMP PREP DET NFS ADJFS PREP DET NFS PREP DETFS PROPN PREP NMS PREP DET NFS ADJFS PDEMMS NMS PPER3MS AUX VPPMS DINTMS <eps> DET NMP PREP NFS PREP PDEMFS NFS DETMS X MOTINC MOTINC PUNCT	_
3801	PPOBJMS VERB PREP PROPN	<eps> VERB PREP PROPN	_
3802	AUX DET NFS ADJFS PREP NFP PREP NMS	<eps> DET NFS ADJFS PREP NFP PREP NMS	_
3803	COSUB NMS ADJFS PREP DETFS NFS ADJFS	ADV <eps> ADJFS PREP DETFS NFS ADJFS	_
3804	COCO PREP NMS PREP VERB DET CHIF NMP ADJMP DINTMS NMS AUX VPPMP	<eps> PREP NMS PREP VERB DET CHIF NMP ADJMP DINTMS NMS AUX VPPMP	_
3805	DETMS NMS PREP DET NMS	<eps> NMS PREP DET NMS	_
3806	DETMS NMS DINTMS NMS PREP VERB DET NFP	<eps> NMS DINTMS NMS PREP VERB DET NFP	_
3807	PREL AUX VPPMS PREP DET NMS DINTMS NMS	<eps> AUX VPPFS PREP DET NMS DINTMS NMS	_
3808	COCO DETMS NMS PREP DET NMS PREP DETFS PROPN DINTMS NMS PREP DETFS PROPN	<eps> DETMS NMS PREP DET NMS PREP DETFS PROPN DINTMS NMS PREP DETFS PROPN	_
3809	DET CHIF NMP AUX ADV VPPMP	DET CHIF NMP AUX ADV VPPMP	_
3810	NMP VPPMP PREP PROPN XFAMIL COCO PROPN DETMS PROPN XFAMIL VERB ADV PREP NOUN PROPN XFAMIL XFAMIL	NMP VPPMP PREP PROPN XFAMIL <eps> XFAMIL DETMS PROPN XFAMIL COCO DET NMS <eps> PROPN XFAMIL XFAMIL	_
3811	PROPN ADV PREP DETFS NUM DET NMP PROPN XFAMIL PREP NMS PREP NFS	NFP ADV PREP DETFS NUM DET NMP PROPN XFAMIL PREP NMP PREP NFS	_
3812	INTJ PPER3FS VERB PINDMS COCO PPER3FS PPOBJMS VERB PREP DET NMS PREP DETFS NFS PREP DETFS NFS PREP DET NMS PREP PROPN	<eps> PPER3FS VERB ADV <eps> PPER3FS PPOBJMS VERB PREP DET NMS PREP DETFS NFS PREP DETFS NFS PREP DET NMS PREP PROPN	_
3813	PROPN XFAMIL DETFS NFS PREL VERB ADV ADV PPER3FS VERB ADV COSUB PROPN XFAMIL PPOBJMS AUX VPPMS VPPMS <eps> DINTMS NMS	<eps> PROPN DETFS NFS PREL VERB <eps> ADV PPER3FS VERB ADV COSUB PROPN XFAMIL PPOBJMS VERB PREP PREFP VERB DINTMS NMS	_
3814	PDEMMS PREL PPER3FS VERB COCO PPER3FS AUX VPPMS COCO PREP PPER3FS	<eps> COSUB PPER3FS VERB COCO PPER3FS AUX VPPMS COCO PREP PPER3FS	_
3815	DETMS ADJMS NMS ADV VERB ADV DINTMS NMS PPER3MS VERB VPPMS PPER3FS PREP DINTMS NMS	DETMS ADJMS NMS PREP VERB ADV DINTMS NMS PPER3MS VERB ADV <eps> PREP DINTMS NMS	_
3816	COCO PPER3FS VERB PREP NMS PREP NFP COSUB PPER3FS AUX NFS PROPN <eps> PPER3FS VERB DETMS NMS ADJMS PREP NFS PREP NMS	PPER3FP VERB <eps> PREP NMS PREP CHIF PREP AUX AUX NFP PREP NMS PPER3FS VERB DETMS NMS ADJMS PREP NFS PREP PROPN	_
3817	PPER3FS VERB PREP PREP PROPN PPER3FS VERB ADV PREP CHIF NMP ADJ	VERB <eps> <eps> PREP PROPN PPER3FS VERB ADV PREP CHIF NMP ADJ	_
3818	PPER3FS VERB ADV COSUB PROPN XFAMIL AUX VPPMS CHIF NFP ADJFP PREFP VERB PPER3FS PPOBJFS VERB ADV PREP CHIF NMP PREL AUX VPPMS DETMS NMS ADJ	PPER3FS VERB ADV COSUB PROPN XFAMIL AUX VPPMS CHIF NFP ADJFP PROPN <eps> PPER3FS PPOBJFS VERB ADV PREP CHIF NMP PREL AUX VPPMS DETMS NMS ADJ	_
3819	PREP VERB ADV VERB ADJMS COCO NFS	<eps> VERB ADV VERB ADJMS DET NFP	_
3820	DETMS NMS PROPN XFAMIL XFAMIL NFS PREP PROPN XFAMIL ADV PPOBJMS VERB ADV COSUB DET NMS ADJMS AUX ADV ADJMS PDEMMS AUX PPER3FS PREL PPOBJMS VERB VERB PDEMFS NFS	<eps> NMS PROPN XFAMIL XFAMIL VERB PREP PROPN VERB COSUB VPPFP <eps> ADV COSUB DET NMS VPPMP AUX ADV ADJMS PDEMMS AUX PPER3FS PREL PPOBJMS VERB VERB PDEMFS NFS	_
3821	ADV VERB ADV PINDMS VERB <eps> <eps> <eps> DETFS NFS PREP DET NFS DINTMS NMS ADJMS	<eps> <eps> ADV PINDMS AUX DINTFS NFS PROPN DETFS NFS PREP DET NFS DINTMS NMS ADJMS	_
3822	ADV PROPN XFAMIL XFAMIL PREL VERB PPOBJMS VERB PREP DINTFS ADJFS NFS DET NMP	PROPN <eps> <eps> XFAMIL PREL VERB PPOBJMS VERB PREP DINTFS ADJFS NFS DET NMP	_
3823	INTJ ADV DET NMP PREP DET NMS AUX DET NMP PREL PPER3MS VERB VERB PREP DET NMS PREP NMP PREP NMS	<eps> ADV DET NMP PREP NMS <eps> AUX DET NMP PREL PPER3MS VERB VERB PREP DET NMS PREP NMS PREP NMS	_
3824	PRON AUX DET NMP VPPMP PREP PROPN XFAMIL XFAMIL PREP DET NMS COCO VPPMP PREP	<eps> AUX DET NMP VPPMP PREP PROPN <eps> XFAMIL PREP DET NMS AUX VPPFS PREP	_
3825	PROPN XFAMIL XFAMIL ADV DETMS NMS PREP DET NMS VPPMS	PROPN XFAMIL XFAMIL ADV DETMS NMS PREP DET NMS VPPMS	_
3826	ADV VERB DETMS ADJMS NMS PREL PREP NMS PPOBJMS AUX VPPMS DINTFS NFS ADV VERB <eps> <eps> <eps> PDEMFS NFS ADV ADV PREP CHIF NFP PREP NMS PREP <eps> NMS DINTMS NMS PREP NFS	<eps> VERB DETMS ADJMS NMS PREL PREP NMS PPOBJMS AUX VPPMS DINTFS NFS ADV COSUB PINDMS VERB COSUB PDEMFS VERB ADV ADV PREP CHIF NFP PREL PINDMS VERB PREP NMS DINTMS NMS PREP NFS	_
3827	VERB DETMS NMS PPOBJMS VERB ADV DET NUM DET NMS PREP PROPN XFAMIL PREL PPOBJMS ADV VERB ADV VERB DINTFS NFS ADV ADV	<eps> DETMS PROPN PPOBJMS VERB ADV PDEMMS DINTFS DET NMS PREP PROPN XFAMIL PREL PPOBJMS ADV VERB ADV VPPMS PREP NFS ADV ADV	_
3828	COCO COCO PPER3MS VERB DET NUM PREP PROPN XFAMIL ADV ADV	<eps> <eps> <eps> VERB DET NUM PREP PROPN XFAMIL ADV ADV	_
3829	ADV COCO ADV PROPN XFAMIL VERB AUX PREP PREP VERB PROPN XFAMIL XFAMIL AUX PREP DET NMS	ADV COCO ADV PROPN XFAMIL VERB AUX PREP PREP VERB PROPN XFAMIL XFAMIL AUX PREP DET NMS	_
3830	INTJ	AUX	_
3831	ADV DET NMP MOTINC MOTINC MOTINC MOTINC	<eps> DET NMP MOTINC <eps> <eps> MOTINC	_
3832	INTJ ADV <eps> PROPN XFAMIL AUX VPPMS DETMS NMS PREP NMP COCO DET NMP <eps> PREP DET NFP PREP DET ADJ	<eps> ADV COSUB PROPN XFAMIL AUX VPPMS DETMS NMS PREP NMS AUX ADJFS COCO NMS PREP DETFS NFS PREP DET NMS	_
3833	PREP ADJMS NMS DINTMS X MOTINC MOTINC MOTINC	<eps> ADJMS NMS PREP NFS COSUB PPER3MP PROPN	_
3834	PDEMMS AUX PROPN XFAMIL PREL VERB PREP NFS PPER3FS PUNCT AUX VPPMS PREP DET NFS COCO PPER3FS ADV AUX ADV ADV VPPMS	<eps> <eps> PROPN XFAMIL PREL VERB PREP NFS <eps> ADJFS AUX VPPMS PREP DET NFS COCO PPER3FS <eps> AUX ADV ADV VPPMS	_
3835	COSUB PPER3FS AUX ADV AUX VPPFS PREP PROPN XFAMIL PREP NMS ADJMS	<eps> PPER3FS AUX ADV AUX VPPMS PREP PROPN XFAMIL PREP NMS ADJMS	_
3836	COCO ADV ADV VPPMS PPER3FS PPER3FS AUX ADJFS PROPN XFAMIL VERB DINTMS NMS DINTMS NMS ADJMS ADV PREP PROPN XFAMIL	<eps> ADV ADV COSUB COSUB PPER3FS AUX ADJFS PROPN XFAMIL VERB DINTMS NMS DINTMS NMS ADJMS ADV PREP PROPN XFAMIL	_
3837	PREP NFS PROPN XFAMIL XFAMIL VERB DET NMS PREP PREP NFS VERB PREP NMS PREP VERB PREP DETFS NFS PREP PROPN COCO ADV PROPN XFAMIL XFAMIL VERB <eps> ADV PREP NMS ADV ADJ COCO ADV <eps> VERB DETMS NMS	<eps> COCO PROPN XFAMIL <eps> VERB DET NMS PREP PPOBJMS VERB <eps> PREP NMS PREP VERB PREP DETFS NFS PREP PROPN COCO ADV PREP <eps> PROPN PREP DETMS NMS PREP NMP ADV ADJ COCO ADV DETMS NMS DETMS NMS	_
3838	VERB VERB ADJ	PREP DET NMP	_
3839	PROPN XFAMIL XFAMIL VERB PDEMMS AUX DETFS NFS PREP PDEMFS NFS NFS ADJFS CHIF NFP CHIF	<eps> <eps> PROPN VERB PDEMMS AUX DETFS NFS PREP PDEMFS NFS NFS ADJFS CHIF NFP CHIF	_
3840	PDEMMS NMS PREP PROPN PREP DETMS NMS PREP PROPN XFAMIL PREP DETFS NFS PROPN PREP PROPN	PDEMMS NMS PREP PROPN PREP DETMS NMS PREP PROPN XFAMIL PREP DETFS NFS PROPN PREP PROPN	_
3841	INTJ PREP PINDMP COCO VERB PREP DET NFS PREP DETFS ADJFS NFS PREP PROPN PREFP AUX DETMS NMS CHIF NMS	INTJ PREP PINDMP COCO VERB PREP DET NFS PREP DETFS ADJFS NFS PREP PROPN PREFP AUX DETMS NMS CHIF NMS	_
3842	VERB DET NMP DETFS NFS PREP DETFS NFS VERB PREP CHIF NMP DINTMS ADJMS NMS PREP DET NFS ADJFS	VERB DET NMP DETFS NFS PREP DETFS NFS VERB PREP CHIF NMP DINTMS ADJMS NMS PREP DET NFS ADJFS	_
3843	PROPN XFAMIL PREFP VERB DINTMS NMS PREP DET NMS PREP VERB PROPN XFAMIL COCO PROPN XFAMIL XFAMIL PREP NOUN	PROPN XFAMIL PREFP VERB DINTMS NMS PREP DET NMS PREP VERB PROPN XFAMIL COCO PROPN XFAMIL XFAMIL PREP NOUN	_
3844	DET PROPN PREL AUX AUX VERB DET NMP ADV PROPN AUX VPPMS	<eps> PROPN PREL AUX AUX VERB DET NMP ADV PROPN AUX VPPMS	_
3845	ADV PREP CHIF PREP CHIF PREP PDEMMS NMS PROPN XFAMIL DETMS NMS ADJMS DET PROPN ADJMS PREP DETFS NFS DET NFP PREP DET NFS ADJFS AUX DET NMS	<eps> PREP CHIF PREP CHIF PREP PDEMMS NMS PROPN XFAMIL DETMS NMS ADJMS DET PROPN ADJMS PREP DETFS NFS DET NFP PREP DET NFS ADJFS AUX DET NMS	_
3846	DETMS NMS PREP NFS ADJFS VPPMS PDEMMS NMS PREP NMS DET NMP PPER3MS VERB DET NFP VPPFP PREP DETMS NMS PREP DET NMS PREP DET NFP PREP PROPN COCO PROPN DINTMS NMS PREP NFS PREL VERB ADV PREP NFS PREP VERB DETMS NMS PREP DET NFS PREP NFS ADJFS COCO ADV COSUB DETFS NFS AUX PREP	DETMS NMS PREP NFS ADJFS VPPMS PDEMMS NMS PREP NMS DET NMP PPER3MS VERB DET NFP VPPFP PREP DETMS NMS PREP DET NMS PREP DET NFP PREP PROPN COCO PROPN DINTMS NMS PREP NFS PREL VERB ADV PREP NFP PREP VERB DETMS NMS PREP DET NFS PREP NFS ADJFS COCO ADV COSUB DETFS NFS AUX PREP	_
3847	DETFS NFS PREP DETFS NFS PROPN VERB DET NMP COCO DET NMP ADV COSUB DETFS NFS PREP PROPN AUX VPPMS ADV PREP CHIF PREP CHIF ADV PREP NFS PREP DETFS NFS ADJFS ADJFS PROPN XFAMIL VERB DETFS NFS PREP NFS PROPN XFAMIL	DETFS NFS PREP DETFS NFS PROPN VERB DET NMP COCO DET NMP ADV COSUB DETFS NFS PREP PROPN AUX VPPMS ADV PREP CHIF PREP CHIF ADV PREP NFS PREP DETFS NFS ADJFS ADJFS PROPN XFAMIL VERB DETFS NFS PREP NFS PROPN XFAMIL	_
3848	DETFS NFS PREP DETFS NFS VERB VERB PPER3FS VERB DET NMS PREP DETFS NFS ADJFS ADJFS AUX PRON PREL VERB PROPN XFAMIL PDEMMS NMS DETMS NMS AUX VPPMS DET NMS VPPMS PDEMMS PREP NMS DETFS NFS VERB NOUN PREP NMS PROPN XFAMIL COCO PROPN XFAMIL	<eps> NFS PREP DETFS NFS PREP <eps> <eps> VERB DET NMS PREP DETFS NFS ADJFS ADJFS AUX PRON PREL VERB PROPN XFAMIL PDEMMS NMS DETMS NMS AUX VPPMS DET NMS VPPMS PDEMMS PREP NMS DETFS NFS VERB NOUN PREP NMS PROPN XFAMIL COCO PROPN XFAMIL	_
3849	PREL PREF AUX VPPMP PREP ADV ADV PREP ADV ADV VERB	<eps> PREF AUX VPPFP PREP ADV ADV PREP ADV ADV VERB	_
3850	DETFS NFS PREP DETFS NFS DINTMS NMS	DETFS NFS PREP DETFS NFS DINTMS NMS	_
3851	COCO PREP COSUB PINDMS VERB PREP DET NFS ADJFS PREP VERB DETMS ADJMS NMS	COCO PREP COSUB PINDMS VERB PREP DET NFS ADJFS PREP VERB DETMS ADJMS NMS	_
3852	PPER1S ADV VERB ADV DINTFS NFS PREP DET NFP AUX VPPMS PREP DET NFS	PPER1S ADV VERB ADV DINTFS NFS PREP DET NFP AUX VPPMS <eps> DET NFS	_
3853	PREP VERB DET NMP DETFS NFS PREL DET NFS PREP NFP VERB PREP PPOBJMP	VPPMS <eps> DET NMP DETFS NFS PREL DET NFS PREP NFP VPPMS PREP PPOBJMP	_
3854	PREP DET CHIF NMP DETMS NMS VERB ADV PREP DETFS NFS PREP DETFS NFS PROPN XFAMIL VERB DET NMS PREL PREP PPOBJMS AUX VPPMS DET NMP	<eps> DET CHIF NMP DETMS NMS VERB ADV PREP DETFS NFS PREP DETFS NFS PROPN XFAMIL VERB DET NMS PREL PREP PPOBJMS PREP VERB DET NMP	_
3855	COSUB PREFP VERB PREP NFS DETFS NFS DET NFP COSUB PREFP VERB DETMS NMS PREL PREFP AUX VPPMS ADV PREP PROPN XFAMIL	<eps> PREFP VERB PREP NFS DETFS NFS DET NFP PREP PREFP VERB DETMS NMS PREL PREFP AUX VPPMS ADV <eps> PROPN XFAMIL	_
3856	PREP CHIF NMP ADV VERB PREFP COSUB PRON PREL PREF VERB PREP DET PRON ADV PREF VERB ADV PREP PREFP	<eps> CHIF NMP ADV VERB PREFP ADV PRON PREL PREF VERB PREP DET PRON <eps> PREF VERB ADV PREP PREFP	_
3857	PROPN XFAMIL PPOBJMS VERB DET ADJ NMP PREP DET NFS ADJFS DINTMS NMS ADJMS	<eps> PROPN PPOBJMS VERB DET ADJ NMP PREP DET NFS ADJFS DINTMS NMS ADJMS	_
3858	DETFS NFS ADJFS PREP DET NMS ADV AUX ADV AUX ADV VPPFS	<eps> NFS ADJFS COSUB DET NMS ADV AUX ADV AUX ADV VPPMS	_
3859	PREP DET NFS	<eps> DET NFS	_
3860	COCO VERB COSUB PDEMMS PREL PPOBJMS AUX ADJMS	<eps> VERB COSUB PDEMMS PREL PPOBJMS AUX ADJMS	_
3861	VERB PREFP VERB DET NFP PREP NFS	VERB PREFP VERB DET NFP PREP NFS	_
3862	PREP DET NFP ADJFP PREP DET NFS PREP DETFS NFS COCO ADV	PREP DET NFP ADJFP PREP DET NFS PREP DETFS NFS COCO ADV	_
3863	PREFP ADV VERB DET NFS	<eps> ADV VERB DET NFS	_
3864	VERB DETMS NMS PREP DETFS NFS DETFS NFS PREP DETFS NFS AUX VPPMS DET NFS PREP DET ADJMP NMP DET ADJFP NFP PREP DETFS NFS ADJFS DETMS NMS PREP DET NFS COCO ADV DETMS NMS PREP NMP	ADJMS PREP NMS PREP DETFS NFS DETFS NFS PREP DETFS NFS AUX VPPMS DET NFS PREP DET ADJMP NMP DET ADJFP NFP PREP DETFS NFS ADJFS DETMS NMS PREP DET NFS COCO ADV DETMS NMS PREP NMP	_
3865	PROPN XFAMIL VERB PREFP AUX NMS ADJMS DET NFP NMS PREP DETFS NFS DET NFP PREFP AUX VPPMS PROPN XFAMIL PREL VERB COSUB PPER3MS PPOBJMS VERB NFS PREP PROPN XFAMIL COCO PROPN XFAMIL	PROPN XFAMIL VERB PREFP AUX VPPFS PROPN DET NFP NMS PREP DETFS NFS DET NFP PREFP AUX VPPMS PROPN XFAMIL PREL VERB COSUB PPER3MS PPOBJMS VERB NFS PREP PROPN XFAMIL COCO PROPN XFAMIL	_
3866	PROPN XFAMIL VERB DET NMP COCO PREP VERB DET NMP PPER3MS VERB DINTFS NFS ADV ADJFS COCO DET NFP ADV ADJFP	<eps> PROPN VERB DET NMP COCO PREP VERB DET NMP PPER3MS VERB DINTFS NFS ADV ADJFS COCO DET NFP ADV ADJ	_
3867	COCO PPER3MS ADV VERB COCO DET PINDFS COCO DET PRON PPER1S PREFS VERB	<eps> PPER3MS ADV VERB COCO DET PINDFS COCO DET ADJMP <eps> NMP VERB	_
3868	PPER3MS VERB COCO PPOBJMS PREF VERB ADV PREP PREFP VERB PRON PREL PPER3MS VERB VERB	<eps> ADJMS COCO PPOBJMS PREF VERB ADV PREP PREFP VERB PRON PREL PPER3MS VERB VERB	_
3869	PPER1S AUX VPPMS DET NFP CHIF PREP PINDMS PREP DET NMS PPER3MS AUX VPPMS	AUX VPPMS <eps> DET NFP DINTMS NMS <eps> PREP DET NMS VPPFS <eps> <eps>	_
