1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
4733	la pièce tombe sur pile autrement dit c' est vous bruno le maire qui allez entamer ce débat c' est <eps> qui aurez la la conclusion françois patri(at) patriat	la pièce tombe sur pile autrement dit c' est vous bruno le maire qui allez entamer ce débat c' est vous qui aurez la la conclusion françois <eps> patriat	_
4734	bruno le maire question simple y a t il réellement bel et bien un problème de coût du travail en france est ce qu' on peut trancher cette question entre vous pour commencer	bruno le maire questions simples y a-t-il <eps> <eps> réellement bel et bien un problème de coût du travail en france est ce qu' on peut trancher cette question entre vous pour commencer	_
4735	oui je crois que ça fait même plus l' objet de débats il y a un problème de compétitivité majeur qui explique <eps> l' effondrement productif en france	<eps> je crois que ça fait même plus l' objet de débats il y a un problème de compétitivité majeur qui explique que l' effondrement productif en france	_
4736	et je crois évidemment qu' il y a un problème de coût du travail très important	et je crois évidemment qu' il y a un problème de coût du travail très important	_
4737	et je me réjouis que françois hollande reconnaisse ce problème là qu' il avait nié pendant toute sa campagne cinq mois après son élection je crois qu' il était temps de découvrir ce problème là	et je me réjouis que françois hollande reconnaissent ce problème là qu' il avait nié pendant toute sa campagne cinq mois après son élection je crois qu' il était temps de découvrir ce problème là	_
4738	ensuite il faut voir quelle solution on apporte à cette difficulté là	ensuite il faut voir quelles solutions on apporte à cette difficulté là	_
4739	et qui doit permettre une fois encore de relancer les capacités de production en france	<eps> qui doit permettre une fois encore de relancer les capacités de production en france	_
4740	moi je crois que la première solution celle dont j' entends parler malheureusement très peu	moi je crois que la première solution celle dont j' entends parler malheureusement très peu	_
4741	et dont on est tous responsables droite et gauche confondues c' est la réduction des dépenses sociales	et dont on est tous responsables droite et gauche confondues c' est la réduction des dépenses sociales	_
4742	si vous voulez éviter de faire supporter la charge sur le travail ou sur les ménages faut d' abord essayer de réduire la dépense sociale en france ça c' est la première chose avant de transférer les dépenses regardons si on <eps> peut pas les réduire	si vous voulez éviter de faire supporter la charge sur le travail ou sur les ménages faut d' abord essayer de réduire la dépense sociale en france ça c' est la première chose avant de transférer les dépenses regardons si on ne peut pas les réduire	_
4743	ensuite on peut regarder les options je pense qu' on va en discuter pendant l' émission <eps> mais c' est la première chose alléger le coût du travail	ensuite on peut regarder des options je pense qu' on va en discuter pendant l' émission oui mais c' est la première chose alléger le coût du travail	_
4744	ne veut pas dire forcément taxer d' abord les ménages davantage et accabler à nouveau les ménages d' impôts essayons d' abord de voir comment est ce qu' on peut dans ces cotisations réduire la dépense	<eps> veut pas dire forcément taxer d' abord les ménages davantage et accablé à nouveau les ménages d' impôts essayons d' abord de voir comment est ce qu' on peut dans ses cotisations réduire la dépense	_
4745	alors on va d' abord voir si vous <eps> voulez bien si françois patriat est d' accord sur cette question de base il y a t il un problème du coût du travail en france	au revoir <eps> <eps> <eps> <eps> si vous le voulez bien si françois patriat est d' accord sur cette question de basse <eps> y a-t-il <eps> <eps> un problème du coût du travail en france	_
4746	c' est vrai qu' on a l' habitude de dire que les socialistes	<eps> est vrai qu' on a l' habitude de dire que les socialistes	_
4747	sont plutôt sur cette idée que c' est un problème d' innovation en france c' est pas forcément le coût du travail et qu' à l' inverse	sont plutôt sur cette idée que c' est un problème d' innovation en france et <eps> pas forcément de coût du travail et qu' à l' inverse	_
4748	du côté de la droite parlementaire on pense plutôt qu' il y a bel et bien un un problème de coût du travail comme vient de le le dire bruno le maire	du côté de la droite parlementaire on pense plutôt qu' il y a bel et bien un <eps> problème de coût du travail comme vient de le le dire bruno le maire	_
4749	réduire la la compétitivité uniquement aux coûts salariaux	réduire la <eps> compétitivité uniquement aux coûts salariaux	_
4750	ça n' est pas la réalité	<eps> n' est pas la réalité	_
4751	la france a quatre déficits actuellement	<eps> france a kate déficit actuel	_
4752	elle a un déficit public financier énorme	<eps> <eps> un déficit public financiers énormes	_
4753	mille mille sept cent milliards	mille six cents <eps> milliards	_
4754	elle a un déficit d' emploi chômage qui est élevé	la difficile <eps> <eps> d' emploi chômage qui est élevé	_
4755	elle a un déficit	<eps> <eps> un déficit	_
4756	de compétitivité	<eps> compétitivité	_
4757	elle a un déficit de la demande on est dans une baisse de la demande aujourd'hui <eps>	elle a un déficit de la demande on est dans une baisse de la demande aujourd' hui	_
4758	alors que les entreprises tournent trois ou quatre points en dessous de ce qu' elles devraient tourner	alors que les entreprises tournent trois ou quatre points en dessous de ce qu' elle devrait tourner	_
4759	alors sur la compétitivité	<eps> sur la compétitivité	_
4760	donc vous comprenez bien que	<eps> vous comprenez bien que	_
4761	pour redire ce pour reprendre ce que vous avez <eps> sur le président de la république <eps> <eps> la première des choses la première des choses c' est quand même déjà <eps>	<eps> redire <eps> pour reprendre ce que vous avez dit sur le devant de la république le trois la première des choses la première des choses c' est quand même des gens	_
4762	de rétablir les comptes publics	<eps> rétablir les comptes publics	_
4763	s' il est question de l' autorité de la france la question de sa de sa de sa potentialité <eps>	si la <eps> question de l' autorité de la france la question de <eps> de ça ça peut se potentialités	_
4764	ensuite le chômage on en parle pas maintenant mais ça il y a quand même une réduction ensuite le coût du travail alors j' entends bien je <eps> j' entends bruno le maire qui a proposé tout de suite une solution un peu idyllique	ensuite le chômage on ne parle pas maintenant mais ça il y a quand même une réduction ensuite le coût du travail alors j' entends bien j' ai j' entends bruno le maire qui a proposé tout de suite une solution un peu idyllique	_
4765	nous ne disons pas seulement que c' est la compétitivité nous d() nous disons que le problème de la compétitivité en france est d' abord et avant tout un problème de stratégie industrielle	nous ne disons pas seulement <eps> c' est la compétitivité nous dont nous disons que le problème de la compétitivité en france et d' abord et avant tout un problème de stratégie industrielle	_
4766	c' est différent alors pour répondre directement à bruno le maire que j' écoute toujours avec attention parce que	différents <eps> <eps> alors pour répondre directement <eps> bruno le maire <eps> j' écoute toujours avec attention parce que	_
4767	si je ne suis pas d' accord avec lui au moins j' écoute je connais la pertinence de ses raisonnements	si je ne suis pas d' accord avec lui au moins j' écoute qu' on la pertinence de ces résonne	_
4768	donc dire aujourd'hui <eps> <eps> baisser la dépense sociale oui c' est bien très bien on peut rêver on peut rêver qui que demain il aille <eps> faire beau tous les jours	donc dire aujourd' hui de baisser la dépense sociale oui c' est bien très bien <eps> peut rêver <eps> peut rêver qui que demain et là y faire beau tous les jours	_
4769	moi je pense que baisser la dépense sociale avec une société	<eps> je pense que baisser la dépense sociale avec une société	_
4770	dont l' espérance de vie augmente	dont l' espérance de vie augmente	_
4771	avec les technologies nouvelles	avec les technologies nouvelles	_
4772	pour l' investigation pour le traitement pour l' opération on sait bien que la dépense sociale d' abord liée au chômage	<eps> l' investigation pour le traitement pour l' opération on sait bien que la dépense sociale d' abord lié au chômage	_
4773	sauf que là c' est le chien qui se mord la queue lié aujourd'hui au déficit que j' évoquais plus la dépense maladie à côté	<eps> que là c' est là que lier aujourd' hui <eps> <eps> <eps> <eps> au difficile que j' évoquais plus la dépense maladie écoutez <eps>	_
4774	c' est un peu c' est certes souhaitable tout le monde doit le faire bien entendu mais ça n' est pas là <eps> <eps> <eps> là qu' est la seule solution je pense pas aujourd'hui	c' est un peu c' est certes souhaitable tout le monde doit le faire bien entendu mais ça n' est pas la la qui est là qu' est la seule solution je pense par jour	_
4775	<eps> je d' abord moi j' écoute aussi toujours avec beaucoup de respect ce que dit françois patriat	et je devant <eps> moi j' écoute aussi toujours et beaucoup de respect ce que dit françois patriat	_
4776	(n) d' abord parce que j' ai du respect pour lui c' est la solidarité des anciens ministres de l' agriculture ça compte et <eps> c' est très important pour avoir <eps> beaucoup souffert et aussi beaucoup appris en étant l' un comme l' autre ministre de l' agriculture	<eps> d' abord parce que j' ai du respect policia <eps> <eps> <eps> <eps> solidarité des anciens ministres de l' agriculture ça compte c' est c' est très important beaucoup souffert a beaucoup souffert et aussi beaucoup appris en étant <eps> <eps> comme le <eps> ministre de l' agriculture	_
4777	mais je crois que sur la dépense sociale	mais je crois que sur la dépense sociale	_
4778	que ce soit sur l' indemnisation du chômage moi j' ai fait des propositions pour réformer notre indemnisation du chômage	<eps> ce soit sur l' indemnisation du chômage moi j' ai fait des propositions pour réformer notre indemnisation du chômage	_
4779	sur les dépenses hospitalières	sur les dépenses hospitalières	_
4780	sur les prescriptions de médicaments on peut faire des économies	<eps> les prescriptions de médicaments on peut faire des économies	_
4781	et je pense qu' il <eps> faut jamais sauter cette étape	et je pense qu' il ne faut jamais sauter cette étape	_
4782	de la réduction de la dépense	<eps> la réduction de la dépense	_
4783	on a trop tendance en france à se dire (n) la bonne solution c' est augmenter les taxes	on a trop tendance en france à se dire ben la bonne solution ces <eps> augmenter les taxes	_
4784	sur les ménages sur les classes moyennes sur les retraités c' est trop facile	<eps> les ménages sur les classes moyennes sur les retraités c' est trop facile	_
4785	donc moi je plaide pour un chemin effectivement un peu plus difficile qui consiste à dire regardons où on peut réduire la dépense ensuite sur	donc moi je plaide pour un chemin effectivement un peu plus difficile qui consiste à dire regardons où on peut réduire la dépense ensuite <eps>	_
4786	donnez un exemple ou deux	<eps> un exemple ou deux	_
4787	oui un exemple concret sur l' indemnisation du chômage moi je	<eps> un exemple concret sur l' indemnisation du chômage <eps> <eps>	_
4788	plaisait pas mais	<eps> pas mais	_
4789	vous avez encore un système en france d' indemnisation du chômage qui permet à certaines personnes de continuer à toucher quatre mille quatre mille deux cents euros par mois sur deux ans même si c' est une minorité	vous avez encore un système en france d' indemnisation du chômage qui permet à certaines personnes de continuer à toucher quatre milles quatre mille deux cents euros par mois sur deux ans même si c' est une minorité	_
4790	sans avoir d' autres obligations que d' aller pointer régulièrement à pôle emploi je pense qu' on peut faire des économies là dessus mais qu' il vaut mieux	sans avoir d' autres obligations que d' aller pointer régulièrement <eps> pôle emploi je pense qu' on peut faire des économies là dessus et qu' il vaut mieux	_
4791	avoir une meilleure formation des chômeurs qu' une indemnisation qui soit	<eps> une meilleure formation des chômeurs qu' une indemnisation qui soit	_
4792	trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débats	généreux <eps> pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débats	_
4793	mais je crois qu' on doit se poser la question sur la prescription des médicaments même chose il me semble que	mais je crois qu' on doit se poser la question sur la prescription des médicaments même chose il me semble que	_
4794	du côté des médecins comme du côté des patients on doit pouvoir faire des économies sur les prescriptions de médicaments est ce qu' on pourrait pas pour donner un exemple très concret	<eps> côté des médecins comme du côté des patients on doit pouvoir faire des économies sur les prescriptions de médicaments je ne pourrais <eps> <eps> pas pour donner un exemple très concret	_
4795	faire comme en allemagne où on prescrit le médicament à la pilule près au lieu de donner à chaque fois la boîte entière c' est des toutes petites économies mais c' est comme ça qu' on arrivera aussi	<eps> comme en allemagne <eps> on prescrit le médicament à la pilule près au lieu de donner à chaque fois la boîte entière c' est <eps> toutes petites économies mais c' est comme ça qu' on arrivera aussi	_
4796	à réduire les dépenses publiques à mon sens enfin sur le constat et <eps> là je crois que françois patriat sera d' accord avec moi	<eps> réduire la dépense publique à mon sens enfin sur le constat est de là je crois que françois patriat sera d' accord avec moi	_
4797	et notre sujet de la compétitivité des entreprises (n)	<eps> notre sujet de la compétitivité des entreprises <eps>	_
4798	oui il y a un problème de compétitivité sur l' innovation comme vous le disiez comme le disait françois mais sur	<eps> il y a un problème de compétitivité sur l' innovation comme vous le disiez comme le disait françois mais sur	_
4799	toutes les activités où il y a peu d' innovation où il y a un savoir faire qui est assez limité	<eps> les activités où il y a peu d' innovation <eps> il y a un savoir-faire <eps> qui est assez limité	_
4800	où il y a des technologies qui sont pas forcement les plus modernes je pense par exemple dans le secteur agricole le maraîchage	<eps> il y a les technologies qui sont pas forcément les plus moderne je pense par exemple dans le secteur agricole le maraîchage	_
4801	la culture des fruits la culture de légumes là le coût du travail est devenu une activ() une actualité brûlante	<eps> culture des fruits la culture de légumes la le coût du travail est devenu une activité une actualité brûlante	_
4802	un problème majeur si on ne réduit pas le coût du travail pour ces activités	un problème majeur si on <eps> réduit pas le coût du travail pour ses activités	_
4803	dans lesquels le coût du travail représente cinquante soixante pour cent du coût final du produit mais les gens vont crever	dans lesquelles le coût du travail représente cinquante soixante pour cent du coût final du produit mais les gens vont crever	_
4804	activité très concurrencée <eps> par les allemands	activité très concurrencés évidemment par les allemands	_
4805	par les italiens par les espagnols mais surtout par les allemands	<eps> les italiens paris espagnol <eps> mais surtout par les allemands	_
4806	où le coût du travail est évidemment beaucoup plus faible que le nôtre donc pour toutes ces activités où il y a peu d' innovation peu de savoir faire	où le coût du travail est évidemment beaucoup plus faible que le nôtre donc pour toutes ces activités où il y a peu d' innovation on peut savoir faire	_
4807	mais simplement du travail manuel bien il fait il est très important à mes yeux de baisser le coût du travail pour qu' on garde nos activités qu' on garde nos maraîchers nos producteurs de fruits nos producteurs de légumes	mais simplement du travail manuel ben il fait les <eps> très important à mes yeux de baisser le coût du travail pour qu' on garde nos activités qu' on garde nos maraîchers de producteurs de fruits des producteurs de lait	_
4808	bien alors je pense que si on parle <eps> compétitivité on va essayer de sortir de du uniquement du débat sur les dépenses sociales pour dire quel est l' enjeu	<eps> alors je pense que si on parle de compétitivité on va essayer de sortir d' une uniquement du débat sur les dépenses sociales pour dire quelle est l' enjeu	_
4809	et là on parle du coût du travail (n)	<eps> là on parle du nain de jardin <eps>	_
4810	<eps> <eps> alors on va prendre par exemple ceux <eps> <eps> qu' on nous cite <eps> toujours en exemple les allemands	un travail alors on va prendre par exemple ou est ce qu' on ne le suis toujours en exemple isolé <eps>	_
4811	les allemands cent cinquante milliards d' excédents <eps> excédent commercial la france soixante dix milliards de déficit alors <eps> <eps> on dit mais c' est	allemand <eps> cent cinquante milliards d' excédant un excédent commercial la france soixante dix milliards de déficit en et l' on dit mme ici <eps>	_
4812	la différence de salaire (n) non la différence de salaire non ils ont le même salaire hors agro alimentaire parce que il y a un problème ce qu' on évoquait en france	<eps> différence de salaire et maintenant le différences de salaires non ils ont le même salaire hors agro-alimentaire <eps> parce que il y a un problème serait évoqué <eps> <eps> en france	_
4813	est ce que les allemands travaillent plus que nous non ils travaillent trente cinq heures cinq autrement trente huit heures	<eps> ce que les allemands travaillent plus que nous non il travaille trente cinq heures cinq autrement trente huit heures	_
4814	vous voyez c' est le produit final qui fait la différence de la compétitivité parce qu' en allemagne qu' est ce qu' ils font	vous voyez ce <eps> <eps> produit final qui fait la différence de la compétitivité parce qu' en allemagne qu' est ce qu' ils font	_
4815	ils vont sur les produits nobles sur le produit haut de gamme sur le produit fini je prends deux exemples	ils vont sur les produits nobles sur le produit haut de gamme sur le produit fini je prends deux exemples	_
4816	l' automobile la machine à outil	<eps> automobile la machine-outil <eps> <eps>	_
4817	est ce que nous en france	<eps> ce que nous en france	_
4818	nous en france on est capable aujourd'hui <eps> d' aller sur ces produits haut de gamme	nous en france on est capable aujourd' hui d' aller sur ces produits <eps> <eps> <eps>	_
4819	est ce qu' on en est capable	<eps> ce qu' on en est capable	_
4820	d' abord moi je crois qu' on en est tout à fait capable	<eps> abord bon je crois qu' on en est tout à fait capable	_
4821	je crois aussi que ce qu' oublie de mentionner françois patriat c' est la tendance	je crois aussi que ce qu' oublie de pensionnés françois patriat c' est la tendance	_
4822	(h) il y a dix ans nous avions un avantage par rapport aux allemands sur le coût du travail	<eps> il y a dix ans nous avions un avantage par rapport aux allemands sur le coût du travail	_
4823	on était bien meilleur qu' eux	on était bien meilleur que <eps>	_
4824	on avait un coût du travail qui était inférieur de quinze pour cent environ au coût du travail allemand aujourd'hui <eps> on est quasiment au même niveau	on avait un coût du travail qui était inférieur de quinze pour cent environ au coût du travail allemand aujourd' hui on est quasiment au même niveau	_
4825	sauf dans les activités effectivement comme l' agroalimentaire où on a pris du retard	sauf dans les activités effectivement comme l' agroalimentaire <eps> on a pris du retard	_
4826	et si on continue comme ça (n) dans dix ans on sera totalement dépassé donc je crois que ce choc de compétitivité sur le coût du travail est nécessaire	et si on continue comme ça mais on en disant on saura totalement dépassés donc je crois que ce choc de compétitivité sur le coût du travail est nécessaire	_
4827	là où je rejoins entièrement françois patriat c' est que il faut une stratégie de long terme sur la compétitivité	là où je rejoins entièrement françois patriat c' est que il faut une stratégie de long terme sur la compétitivité	_
4828	et la stratégie de long terme pour la france il y a la réduction du coût du travail pour moi c' est un préalable absolu	est la stratégie de long terme pour la france il y a la réduction du coût du travail pour moi c' est un préalable absolu	_
4829	mais il y a ensuite	mais il y a ensuite	_
4830	se mettre sur les produits haut de gamme avec de la qualité avec de l' innovation avec la marque france le label france	<eps> mettre sur les produits haut-de-gamme <eps> <eps> avec de la qualité <eps> de <eps> innovation avec un marque france le label france	_
4831	et et moi je veux dire à quel point il y a toutes les ressources qu' il faut en france pour y arriver lorsqu' on se donne le mal nécessaire regardez une marque comme citroën	et et moi je veux dire à quel point il y a toutes les ressources qu' il faut en france pour y arriver lorsqu' on se donne le mal nécessaire regardez une marque comme citroën	_
4832	on disait c' est une marque vieillissante <eps> un peu datée ils font des voitures maintenant formidable la ds3 la ds4	on disait c' est une marque vieillissant d' un peu daté ils font des voitures maintenant formidable destroyer dsk <eps> <eps>	_
4833	qui séduisent de plus en plus de monde regardez dans le monde agricole ce qui a été possible de faire dans le domaine viticole	qui séduisent de plus en plus de monde regarder dans le monde agricole ce qui était <eps> possible de faire dans le domaine viticole	_
4834	ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	_
4835	ils sont montés en gamme ils ont acquis une qualité un label formidable ça marche donc ne désespérons pas <eps> <eps> si presque aussi bon que le bourgogne mais je vais <eps> insulter la bourgogne là dessus simplement si on fait ce choix là on va y arriver	<eps> sont montés en gamme ils ont acquis une qualité un label formidable ça marche donc ne désespère on parle bourgogne si presque aussi bon <eps> <eps> bourgogne mais je veux pas insulter la bourgogne là dessus simplement science <eps> fait ce choix là on va y arriver	_
4836	bien alors je continue mon exemple pour y revenir parce que	<eps> alors je continue mon exemple il pourrait revenir parce que	_
4837	ce que dit monsieur ce que dit bruno le maire actuellement ministre <eps> <eps> c' est pas exactement ce que dit globalement la droite	ce que dit monsieur ce que dit bruno le maire actuellement n' y est c' est pas exactement ce que dit globalement la droite	_
4838	la droite dit c' est le prix du travail c' est le prix bien	vendredi <eps> <eps> c' est le prix du travail c' est le <eps> bien	_
4839	je ne nie <eps> pas aujourd'hui <eps> pour faire la part des choses qu' il y a des charges qui pèsent sur le travail qui ne devraient pas peser sur lui	je ne me dit pas aujourd' hui pour faire la part des choses qu' il y a des charges qui pèsent sur le travail qui ne devrait pas peser sur lui	_
4840	exemple	<unk>	_
4841	exa() exemple les allocations familiales alors un exemple ça ne dure il y a des charges	<eps> exemple les allocations familiales voilà un exemple ça dont <eps> il y a des charges	_
4842	le charges sociales autrement vous savez arriver à enlever les charges sociales les états unis le font ils disent vous avez votre salaire messieurs puis après vous prenez en charge votre santé on voit bien les difficultés que ça a créées mais pour l' allemagne	charge sociale <eps> autrement c' était arrivé <eps> enlever les charges sociales des etats-unis <eps> le font et disent vous avez votre salaire messieurs puis après vous prenez en charge votre santé on voit bien les difficultés que ça a créé mais pour l' allemagne	_
4843	cette dérèglementation c' est quoi au bout du compte parce qu' on dit c' est un exemple c' est deux millions et demi de salariés qui gagnent cinq euros de l' heure	cette déréglementation c' est quoi au bout du compte parce qu' on <eps> <eps> est un exemple ces <eps> deux millions ennemi salarié <eps> <eps> qui gagne cinq euros de l' heure	_
4844	cinq euros de l' heure et c' est pas de smic	cayrol <eps> <eps> <eps> <eps> et c' est pas le smic	_
4845	donc cette <eps> logique de dire uniquement c' est le coût du travail c' est cette <eps> <eps> c' est pas la bonne réponse parce que la bonne réponse <eps> <eps> <eps> ça veut dire qu' on va moyenner <eps> les produits français	donc c' est logique de dire uniquement c' est <eps> <eps> du travail c' est c' est cet c' est pas la bonne réponse parce que la bonne réponse c' est bon ça veut dire qu' on va moyen et les produits français	_
4846	qu' on va créer des chocs sur le revenu donc le président de la république	<eps> on va créer des chocs sur le revenu donc le président <eps> la république	_
4847	qui d' abord dans un premier temps a dit rétablissons la <eps> les comptes redonnons nous <eps> des marges	est d' abord dans un premier temps a dit rétabli sont là les comptes redoux non ou des marges	_
4848	en revenant à trois pour cent du déficit et c' est c' est douloureux <eps> avec un effort partagé et ciblé	en revenant à trois pour cent de déficit et c' est c' est tout heureux avec un effort partagé et ciblée	_
4849	dit maintenant ok je mets je remets les pendules à l' heure et c' est nécessaire	qui maintenant ok je mais je remet les pendules à l' heure <eps> c' est nécessaire	_
4850	il y va de notre indépendance mais dans le même temps je pense aussi qu' il y a une demande sur la compétitivité et pour ce faire pour ce faire il a nommé monsieur gallois <eps>	il <eps> va de notre indépendance mais dans le même temps je pense aussi qu' il y a une demande sur la compétitivité efforce de <eps> faire pour ce faire il a nommé monsieur gallois dont	_
4851	alors louis ga(llois) qui est pas n' importe qui (n) <eps> <eps> ancien patron d' eads de <eps> la sncf (n) il y a ce serait	pour ma part qui <eps> pas n' importe qui voilà bien un ancien patron <eps> <eps> de adsl la sncf <eps> <eps> <eps> <eps> ce serait	_
4852	malheureux de dire qu' il ne connaît pas l' industrie française son rapport est très attendu	malheureux de guerre qui <eps> ne connaît pas l' industrie française son rapport est très attendu	_
4853	mais par ailleurs le ne notre confrère du monde a déjà donné <eps> des pistes de travail que serait en train d' explorer	mais par ailleurs le ne notre confrère du monde a déjà des données des pistes de travail que serait en train d' explorer	_
4854	l' élysée donc une baisse massive des charges patronales on parle de trente à cinquante milliards d' euros c' est considérable	l' elysée donc une baisse massive des charges patronales on parle de trente à cinquante milliards d' euros c' est considérable	_
4855	étalés <eps> sur le quinquennat étalés <eps> <eps> sur <eps> <eps> <eps> le quinquennat et qui toucheraient en priorité les salaires allant de <eps>	a lire sur les cinq nina quarante milliards sur sa étalé sur le quinquennat et qui toucheraient en priorité les salaires l' an deux	_
4856	deux mille trois cents à trois mille deux cents euros bonne piste de travail	<eps> mille trois cents à trois milles deux cents euros pistes <eps> de travail	_
4857	mauvaise piste de travail piste de travail incomplète	mauvais auspices de travail puissent de travailler incomplète	_
4858	c' est une piste	<eps> est une piste	_
4859	elle me paraît judicieuse attendons que monsieur gallois remette <eps> <eps>	<eps> me paraît judicieuse attendant <eps> monsieur gallois remet son rapport	_
4860	après ce que la question sur le constat (n)	après <eps> que la question sur le constat hein	_
4861	on est tous	<eps> est tout	_
4862	on est d' accord sur le constat la compététivité	<eps> est d' accord sur le constat la compétitivité	_
4863	tout le problème entre nous aujourd'hui <eps> donne sur les remèdes	<eps> le problème entre nous aujourd' hui donne sur les remèdes	_
4864	remède <eps> ici j' en ai entendu tout à l' heure quelques propositions	promet d' ici j' en ai entendu tout à l' heure quelques propositions	_
4865	il faudra trouver ces dix ces quarante milliards on va dire quarante milliards sur cinq ans	il faudra trouver six dix six quarante milliards on va dire quarante milliards sur cinq ans	_
4866	ou est ce qu' on les trouve j' entends beaucoup de propositions j' ai entendu ce que disent certains ministres ce que disent certains responsables politiques	<eps> est ce qu' on les trouve j' entends beaucoup <eps> propositions j' ai entendu ce que disent certains ministres ce que disent certains responsables politiques	_
4867	csg <eps> pas csg tfv tva pas tva banque ou pas banque immobilier ou pas immobilier <eps>	j' ai pas siégé tv tv rebâtir un banc coupable que <eps> immobilier ou pas immobile oui	_
4868	je vais en p() donner une autre moi je pense que pour cette ressource il y a peut être une chose importante	v on peut <eps> donner une autre <eps> je pense que pour cette ressource il y a peut être une chose importante	_
4869	c' est d' abord la fiscalité écologique qui est balbutiante dans notre pays première chose <eps> <eps> deuxième piste je suis de ceux qui crois mais je pense qu' on pourrait non mais une taxe deuxièmement une taxe	c' est d' abord la fiscalité écologique qui est balbutiante dans notre pays première chose donc une deuxième piste je suis je suis de droite pensent <eps> <eps> qu' opel écologique non mais tacna troisièmement <eps> une taxe	_
4870	peut être une taxe qui serait aussi une taxe écologique en tout cas une taxe sur les bas coûts sur les produits hors europe	peut-être <eps> une taxe qui serait aussi une taxe écologique en tout cas une taxe sur les bakou <eps> sur les produits hors europe	_
4871	parce que vous savez qu' il y a aujourd'hui des produits hors <eps> europe une empreinte carbone	parce que vous savez qu' il y a aujourd' hui il produit en europe une empreinte carbone	_
4872	je vois aujourd'hui quand je vois arriver dans le lycée de bourgogne	voit aujourd' hui quand je vois arriver dans les lycées de bourgogne	_
4873	des oignons <eps> qui arrivent de chine parce qu' ils sont moins chers imaginez la taxe carbone l' empreinte donc je crois que l' europe c' est à l' europe de saisir ça pour nous aider en chemin ils pourraient faire aux frontières de l' europe	des zones ion qui arrivent de chine parce qu' ils sont moins cher imaginez la taxe carbone l' empreinte donc je crois que l' europe c' est à l' europe de saisir sable pour nous aider le chemin il pourrait faire aux frontières de l' europe	_
4874	une forme de protectionnisme européen sur les produits venus de l' extérieur	<eps> <eps> de protectionnisme européen sur les produits laitiers <eps> <eps> <eps>	_
4875	au nom de l' empreinte carbone je crois que c' est une prise que l' europe peut peut évoquer aujourd'hui dernière chose sur ce sujet	non <eps> <eps> l' empreinte carbone je crois que c' est une puisque <eps> l' europe est évoquée aujourd' hui dernière chose sur ce sujet	_
4876	la compétitivité de l' allemagne s' est faite de façon intra européenne	la compétitivité de l' allemagne s' est fait de façon intra européenne	_
4877	pour les pays de l' est au profit des pays de l' ouest c' est à dire que c' est pas sur son territoire que l' allemagne	<eps> les pays de l' est au profit des pays de l' ouest c' est-à-dire <eps> <eps> que c' est pas sur son territoire que l' allemagne	_
4878	a gagné en compétitivité c' est sur les pays de l' est à bas coûts	à gagner en compétitivité c' est sur les pays de l' est à bas coût	_
4879	bas coûts <eps> où elle est allée chercher la croissance	de la bakou où elle est allée chercher la croissance	_
4880	extérieure elle est allée chercher de la croissance concurrentielle au lieu d' aller chercher de la croissance interne à l' europe	extérieur elle est allée chercher de la croissance concurrentiel au lieu de les chercher de la croissance interne alors <eps> <eps>	_
4881	bruno le maire d' abord sur ce qui pourrait émerger on nous le promet des mesures à la fin de l' année (n) une baisse massive des charges patronales	<eps> le maire d' abord sur ce qui pourrait émerger on nous le promet des mesures à la fin de l' année un une baisse massive des charges patronales	_
4882	tout d' abord l' ordre de grandeur me paraît le bon c' est à dire qu' il faut être entre trente à cinquante milliards d' euros pour que ce soit vraiment significatif	<eps> <eps> abord l' ordre de grandeur me paraît le bon c' est à dire qu' il faut être entre trente à cinquante milliards d' euros pour que ce soit vraiment significatif	_
4883	en dessous on n' est plus dans le choc de compétitivité or l' objectif stratégique c' est	en dessous on <eps> est plus dans le choc de compétitivité hors l' objectif stratégique c' est	_
4884	restaurer la compétitivité pour maintenir la production et les emplois productifs agricoles ou industriels en france c' est une priorité absolue parce que le pays est en train de se vider de son sang productif	restaurer la compétitivité pour maintenir la production et des emplois productifs agricoles ou industriels en france c' est une priorité absolue parce que le pays est en train de se vider de son sang productif	_
4885	le premier outil pardonnez moi d' insister là dessus la réduction de la dépense on ne peut pas sauter cette étape là	<eps> <eps> <eps> pardonnez moi d' insister là dessus la réduction de la dépense on ne peut pas sauter cette étape la	_
4886	et dire immédiatement on va taxer les uns on va taxer les autres c' est trop facile il y a des marges de manoeuvre sur la réduction de la dépense après est ce qu' il faut de la fiscalité écologique de la csg <eps> de	<eps> dire immédiatement on va taxer les hein on va taxer des autres c' est trop facile il y a des marges de manoeuvre sur la réduction de la dépense après <eps> ce qu' il faut de la fiscalité écologique de la csg ou de	_
4887	pense que ça fait partie des pistes intéressantes passer d' une fiscalité qui est encore balbutiante	pense que ça fait partie des pistes intéressantes c' est une fiscalité qui est encore balbutiante	_
4888	et on doit pouvoir effectivement la faire progresser	<eps> on doit pouvoir effectivement la faire progresser	_
4889	ensuite s' il reste un choix à faire entre csg et tva	ensuite s' il reste un choix fait <eps> entre csg <eps> tva	_
