BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
LA TVA PERMET DE TAXER LES PRODUITS IMPORTÉS ÇA JE CROIS QUE C' EST TRÈS IMPORTANT QUAND ON VOIT	LATEVEA PERMET DE TAXER LES PRODUITS IMPORTÉS ÇA JE CROIS QUE C EST TRÈS IMPORTANT QUAND ON VOIT
LE NOMBRE D' IMPORTATION EN FRANCE POUVOIR TAXER LES PRODUITS RÉALISÉS À L' ÉTRANGER GRÂCE À LA TVA C' EST BIEN	LE NOMBRE D'IMPORTATIONS EN FRANCE POUR TAXER LES PRODUITS RÉALISÉS À L'ÉTRANGER GRÂCE À EVA C'EST BIEN
ALORS QUE LA CSG NE TAXE QUE LES REVENUS DES MÉNAGES OU LES REVENUS DES RETRAITÉS	LORSQUE LE SIÈGE DE TAXE QUE LES REVENUS DÉMÉNAGENT OU LES REVENUS DE RETRAITÉS
LE DEUXIÈME AVANTAGE C' EST QUE	LE DEUXIÈME AVANTAGE CHEZ QUE
LORSQU' ON REGARDE CE QUE TOUCHE LA TVA CE QUE TOUCHE LA CSG LA TVA TOUCHE AUSSI LES ENTREPRISES TOUCHE	LORSQU ON REGARDE CE QUE TOUT LA TÉLÉA CE QUE TOUJOURS CES JEUX LA TÉVA TOUCHE AUSSI LES ENTREPRISES TOUCHÉES
AUSSI LES COLLECTIVITÉS LA CSG NE TOUCHE QUE LES MÉNAGES QUE LES FRANÇAIS QUI TRAVAILLENT OU QUI SONT RETRAITÉS	AUSSI LES COLLECTIVITÉS LA SÉRIE NE TOUCHE QUE LES MÉNAGES QUE LES FRANÇAIS QUI TRAVAILLE OU GUISON ONT RETRAITÉ
DONC JE PRÉFÈRE CETTE SOLUTION DE LA TVA À LA SOLUTION DE LA CSG UNE FOIS ENCORE AVEC CETTE	OU JE PRÉFÈRE CETTE SOLUTION DE LA TÉLÉ À LA SOLUTION L'ASSIÉGÉE NOUS FONT ENCORE EXCEPTEUR
DOUBLE RÉSERVE LA PREMIÈRE C' EST QUE ON PEUT IMAGINER EFFECTIVEMENT UNE FISCALITÉ ÉCOLOGIQUE INTÉRESSANTE JE TROUVE QUE ÇA VAUT LE COUP DE TRAVAILLER LÀ DESSUS JE TROUVE QUE C' EST UNE PISTE INTÉRESSANTE ET LA DEUXIÈME C' EST QUE N' OUBLIONS PAS CE QUE À CHAQUE FOIS ON MET DE CÔTÉ À CHAQUE FOIS ON OUBLIE ON PEUT RÉDUIRE LA DÉPENSE	DOUBLE RÉSERVE LA PREMIÈRE SÉCOLE OPPO IMAGINE EFFECTIVEMENT ET FISCALITÉ ÉCOLOGIQUE INTE RESSANTE CONSERVANT BEAUCOUP TRAVAILLAIT LÀ DESSOUS QU'AU UNE PISTE INTÉRESSANTE CONSERVANT LE COU TRAVAILLER LÀ DESSUS JUSQU'AU UNE PISTE INTÉRESSANTE CONSERVANT LE COUP TRAVAILLER LÀ DESSUS JOUE QU'AU UNE PISTE INTÉRESSANTE CONSERVANT LE COÛT
ALORS RÉDUIRE LA DÉPENSE C' EST INTÉRESSANT JE VAIS ÊTRE UN PEU POLÉMIQUE AVEC BRUNO LE MAIRE LE POLÉMISTE	L'EN RÉDUIRE ET DES PONTES INTÉRESSANTS J'AI TRÈS PEU POLÉMIQUES AVEC VENANT LE MAIRE DE POLÉMISTE
LE MÉRITE DE CE GOUVERNEMENT CRITIQUÉ DANS D' AUTRES RÔLES	L AMÉRIQUE DE CE GOUVERNEMENT CRITIQUAIT D ORDRE AUTRES RÔLES
C' EST QUAND MÊME DANS UN PREMIER TEMPS DE RÉDUIRE LA DÉPENSE PUBLIQUE POUR LA PREMIÈRE FOIS DE DIX MILLIARDS D' EUROS	C'EST QUAND MÊME DANS UN PREMIER TEMPS DE RÉDUIRE LA DÉPENSE PUBLIQUE POUR LA PREMIÈRE FOIS DE DIX MILLIARDS D'EUROS
LE PRÉSIDENT DE LA RÉPUBLIQUE EST NOUVELLEMENT ÉLU IL DIT JE VAIS RÉDUIRE LA DÉPENSE DE DIX MILLIARDS RAPPELEZ VOUS	PRES DANS LA RÉPUBLIQUE À NOUVELLE MOYEU ET JE VAIS RÉDUIRE LA DÉPENSE DIX MILIAS RAPPELEZ VOUS
DE DEUX MILLE SEPT	DEUX MILLE SEPT
LA PREMIÈRE CHOSE QU' AVAIT FAIT LE PRÉSIDENT SORTANT C' EST DE CRÉER LA LOI TEPA	LA PREMIÈRE CHOSE QU'AVEZ FAIT PRISON SORTANT C'EST DE CRÉER LA LOI TEPA
QUI ENTRAÎNAIT UN CERTAIN NOMBRE DE NICHES FISCALES QUI A COÛTÉ QUINZE MILLIARDS À L' ÉPOQUE ET DONT ON DISAIT QUE ÇA ALLAIT CRÉER UN CHOC DE CROISSANCE	QUI ENTRAÎNAIT ON DE NICHE FISCAL QUI A COÛTÉ QUINZE MILLIARDS À L ÉPOQUE DONT ON ISEX FALLAIT CRÉER UN CHOC DE CROISSANCE
ET UN CHOC DE CONFIANCE IL Y A EU LA CRISE JE VOUS L' ACCORDE MAIS LE CHOC JE LE DISAIS À L' ÉPOQUE À MADAME LAGARDE N' EST PAS VENU	ET UN CHAME DE CONFIANCE Y AYE LA CRISE JE VOUS L'ACCORDE MAIS LE CHANGLE DISER MADAME LA GARDE À L'ÉPOQUE N'EST PAS VENUE
SON GOUVERNEMENT A LE MÉRITE AUJOURD'HUI DE DIRE TRENTE MILLIARDS DIX MILLIARDS D' ÉCONOMIES PREMIÈRE CHOSE ENSUITE DIX MILLIARDS SUR LES ENTREPRISES ET DIX MILLIARDS SUR LES MÉNAGES ET SUR LES MÉNAGES LES PLUS AISÉS	SON GOUVERNEMENT ELLE MÉRITE AUJOURD'HUI DE DIRE TRENTE MILLIARDS DIX MILLIARDS D'ÉCONOMIES BONACHOT ENSUITE DIX MILLIERS SUR LES ENTREPRISES ET DIX MILLIARDS SUR LES MÉNAGES ET SUR LES MÉNAGES LES PLUS AISÉS
ENFIN VINGT MILLIARDS D' IMPÔTS ET DIX MILLIARDS D' ÉCONOMIES	VINGT MILLIARDS D EMPLOYÉS ET DIMINUÈRENT LES COLLÈGUES GÉRÉS P
ATTENDEZ J' AI DIT J' AI DIT VOILÀ UN TIERS DEUX TIERS JE PENSE QU' IL FAUDRA ARRIVER DANS DANS LE FUTUR NON MAIS IL FAUDRA ARRIVER À CINQUANTE CINQUANTE DANS LES TEMPS FUTURS ON NE POURRA PAS CRÉER UN CHOC ALORS D' ABORD	ANGÉNIE GILIBRE UN TIERS DE TIERS DE L'ÉTAT JE PENSE QU'IL FAUDRA ARRIVER DANS LE QUART D'AFRIQUEUR INDIEN IL FAUDRA ARRIVER À CINQUENTE CINQUANTE DANS L'ÉTENDRE NE POURRA PAS CRÉER UN CHOCOLAT À BORD
VOUS NOUS DITES QU' ON NE PARLE QUE D' IMPÔTS MAIS JE VOUS DIS D' ABORD ÉCONOMIE C' EST LE PREMIER GOUVERNEMENT QUI FAIT DIX MILLIARDS D' ÉCONOMIE	VOUS DIT ON PARLER QUE D IMPÔT JU DIT LA BANDE ÉCONOMIQUE CELLOT PREMIER GOUVERNEMENT QUI FAIT DIX MILLIONS D ÉCONOMIES
IL Y A EU DES TENTATIVES AVANT AVEC LA RGD LA TVA MOI JE SUIS PAS EN TRAIN DE CHOISIR TVA OU CSG	Y A EU DES TENTATIVES AVANT ACCLERGE LATEVÉA MOI SE SUPPORTRAIT CHOISIR THEVEA OÙ SIÈGES
LA TVA RAPPORTE SIX À SEPT MILLIARDS POUR UN POINT LA CSG RAPPORTE ONZE À DOUZE MILLIARDS POUR UN POINT DONC ELLE EST PLUS RENTABLE C' EST CLAIR	L'ATEVÉ A APPORTÉ SA TÊTE MILLIARD POUR UN POINTLE SIÉGÉ RAPPORTANT À DOUZE MILLIARDS POUR ÂPRES DONT QU'ELLE ÉPURANTE
LA FACILITÉ CE SERAIT DE	LA FACILITÉ SE SERAIT
ALORS LE GOUVERNEMENT PRÉCÉDENT AUQUEL VOUS APPARTENIEZ AVAIT DIT ON VA FAIRE UN CHOC DE COMPÉTITIVITÉ AVEC LA TVA EN LA PASSANT DE CENT QUATRE VINGT SIX À VINGT ET UN	ALORS LE GOUVERNEMENT PRÉCÉDENT APPARTENAIT AVEC DIT AURAIT FAIRE UN CHOC DE COLLECTIVITÉ AVEC LA QUÉBÉRANT LA PASSANT DES DIVISIONS INTER
RÉSULTAT RÉSULTAT AVOUEZ LE AU MOMENT OÙ IL Y A UNE BAISSE DE LA CONSOMMATION	RÉSULTAT RÉSULTAT AVRIL AU MOMENT MOYENNE BAISSE DE LA CONSOMMATION
AU MOMENT OÙ IL Y A UNE BAISSE DE LA DEMANDE ARRIVÉ AU MOIS D' OCTOBRE LÀ CE MOIS CI AVEC	AU MOMENT OÙ Y A UNE BAISSE DE LA DEMANDE ARRIVÉE AU MOIS D OCTOBRE À CELUI CI AVEC
DEUX POINTS ET DEMI DE TVA EN PLUS EST CE QUE VOUS PENSEZ QU' ON A ENCORE PAS PLUS CASSÉ LA MACHINE	DEUX POINTS ADMITES AVAIENT EN PLUS EST CE QUE VOUS PENSEZ QU'ON NE L'EMPORTE PAS PLUS QU'ASSEZ LA MACHINE
AUPRÈS DES CONSOMMATEURS QUI EUX AVOUEZ LE PARCE QUE QUAND VOUS POUVEZ ME DIRE	AUPRÈS DES CONSOMMATEURS QUI EUX AVOUE LEUX UN PARQUET QUAND POUR UNE DIRE
ÇA TOUCHE PAS TOUTES LES ENTREPRISES MAIS IL N' EMPÊCHE QUE POUR UN MÉNAGE QUI SE CHAUFFE	ÇA TOUCHE PAS TES ENTREPRISES MAIS N EMPÊCHE QUE POUR AMÉNAGE QUI SE CHAUFFE
QUAND ILS PAYENT LA TVA	QUAND IL PAYE LA TVA
LÀ IL Y A PAS DE RÉCUPÉRATION À DEUX CINQ SUR LE PRODUIT IL PAIE LA TVA QUAND QUELQU' UN FAIT LE PLEIN À LA STATION	LÀ Y A PAS DE RÉCUPÉRATION À ZÉRO DEUX ZÉRO CINQ SUR PRODUITS QU'ELLE A ÉTÉ BIEN QUAND QUELQU'UN FAIT LE PLEIN À LA STATION
LÀ IL P() IL PREND LA TVA DE PLEIN FOUET DONC C' EST UNE ATTEINTE AU POUVOIR D' ACHAT À MON AVIS QUI N' ÉTAIT PAS JUSTE ALORS QUE LE GOUVERNEMENT EN LA MATIÈRE AUJOURD'HUI FAIT PREUVE DE LUCIDITÉ ET DE COURAGE	L'ARMÉE QU'IL ÉTAIT PAS JUSTE ALORS QUE LE GOUVERNEMENT LA MATIÈRE AUJOURD'HUI FAIT PREUVE DE LUCIDITÉ DE COURAGE
JE VAIS ÊTRE UN PEU POLÉMIQUE À MON TOUR FRANÇOIS PATRIAT	J'AI UN PEU POLÉMIQUE À MON TOUR FRANÇOIS PATRIA
CE QU' A DÉCIDÉ LE GOUVERNEMENT DE JEAN MARC AYRAULT	CE QU'A DÉCIDÉ LE GOUVERNEMENT JEAN MARQUERAUX
ET DE FRANÇOIS HOLLANDE C' EST BIEN DE TAXER JUSTEMENT MASSIVEMENT TOUS LES MÉNAGES FRANÇAIS	IL FRANÇOIS HOLLANDE C'EST BIEN DE TAXER JUSTEMENT MASSIVEMENT TOUS LES MÉNAGES FRANÇAIS
MÊME S' IL N' A PAS AUGMENTÉ LA TVA PEUT ÊTRE QU' IL LE FERA PLUS TARD IL A DÉJÀ PRIS CETTE DÉCISION	MÊME S'IL N'A POUR AUGMENTÉ LA TÉLÉARPE QU'IL LE FRA PLUS TARD IL A DÉJÀ PRIS CETTE DÉCISION
ET LES AUGMENTATIONS D' IMPÔTS DE DIX MILLIARDS NE TOUCHE PAS UNE PARTIE DES MÉNAGES ET LE MENSONGE DE JEAN MARC AYRAULT	LES AUGMENTATIONS D'UN PONT INDI MILLIARD NE TOUCHENT PAS LES MÊMES PARTIES DES MÉNAGES ET LE MENSONGE DE JEAN MARQUERAUX
QUI NOUS DIT NEUF FRANÇAIS SUR DIX SERONT ÉPARGNÉS C' EST FAUX TOUT LE MONDE LE SAIT	QUI NOUS DIT NEUF FRANÇAIS SUR DIX SUR E PARGNE C EST FAUX TOUT ON BLESSAIT
QUAND VOUS AUGMENTEZ LES TAXES SUR LES TABACS QUAND VOUS AUGMENTEZ LES TAXES SUR LA BIÈRE	QUAND VOUS AUGMENTEZ L'ÉTAT SUR LES ALLEMANDS NOUVELLES AUX AUGMENTER LES TAXES SUR LA BIÈRE
QUAND VOUS GELEZ LE BARÈME DE L' IMPÔT SUR LE REVENU QUAND VOUS TOUCHEZ AU QUOTIENT FAMILIAL QUAND VOUS TOUCHEZ AUX AUX EMPLOIS À DOMICILE VOUS TOUCHEZ	QUAND VOUS GELEZ L'ARRÊT DE L'IMPO SUR LE REVENU QUAND VOUS TOUCHE AU QUOTIENT FAMILIAL QUAND VOUS TOUCHEZ AU AUX EMPLOIS À DOMICILE VOUS TOUCHER
TOUS LES FRANÇAIS PERSONNE NE SERA ÉPARGNÉ ET MOI J' AURAIS PRÉFÉRÉ QU' AU LIEU D' AVOIR DIX MILLIARDS D' IMPÔTS SUPPLÉMENTAIRES SUR LES MÉNAGES	TOUS LES FRANÇAIS PERSONNE NE SERA ÉPARGNÉ ET MOI J'AURAIS PRÉFÉRÉ CONNU D'AVOIR DIX MILLIARDS D'IMPÔTS SUPPLÉMENTAIRES SUR LES MÉNAGES
DIX SUR LES ENTREPRISES ET DIX D' ÉCONOMIE IL Y AIT VINGT MILLIARDS D' ÉCONOMIE ET SI VOUS VOULEZ DES IDÉES D' ÉCONOMIE	DIT SUR LES ENTREPRISES EDDIE D ÉCONOMIE Y EST VINGT MILLIARDS D EUROS D ÉCONOMIE ET SI VOULEZ DES IDÉES L ÉCONOMIE
MOI JE PEUX VOUS EN DONNER MAIS ALORS VOUS POUVEZ PROLONGER L' ÉMISSION DE TRENTE MINUTES	MOI JE PEUX VOUS EN DONNER MALHEUR VOUS POUVEZ PROLONGER L ÉMISSION DE TRENTE MINUTES
J' EN AI À N' EN SAVOIR QUE FAIRE	J'EN AI À N'EN SAVOIR QUE FAIRE
JE PRENDS JUSTE L' EXEMPLE DE MA RÉGION LA HAUTE NORMANDIE ON A ENCORE DEUX RÉGIONS HAUTE NORMANDIE BASSE NORMANDIE	JE COMPTE JUSTE L'EXEMPLE DE LA RÉGION LA AUTOMOBILE ON A ENCORE DEUX RÉGIONS OTTOMANDIES BASSE NAMMANDIE
DEUX CONSEILS RÉGIONAUX AVEC TOUT CE QUI VA AVEC DE FONCTIONNAIRES ET DE POSTES QUI SONT PAS FORCÉMENT UTILES	DEUX CONSEILS RÉGIONAUX AVEC TOUT CE QUI VA AVEC DE FONCTIONNAIRES ET DE POSTES QUI SONT PAS FORCÉMENT UTILES
VOUS AVEZ CINQ CONSEILS GÉNÉRAUX POUR UNE RÉGION QUI SI ON RASSEMBLAIT LES DEUX NE FERAIT MÊME PAS LA TAILLE D' UN LAND ALLEMAND	VOUS AVEZ CINQ CONSEILS GÉNÉRAUX POUR UNE RÉGION QUI Y SONT RASSEMBLÉES LES DEUX NE FERAIENT MÊME PAS LA TAILLE D'UN LAND ALLEMAND
IL EST TEMPS DE FUSIONNER UN CERTAIN NOMBRE D' OUTILS ADMINISTRATIFS	IL EST TEMPS DE FUSIONNER UN CERTAIN NOMBRE D'OUTILS ADMINISTRATIFS
D' ARRÊTER AVEC CE MILLEFEUILLE D' EMPILEMENT DE DÉCISIONS ADMINISTRATIVES ET DE LIEUX DE DÉCISION QUI COÛTE CHER À L' ÉTAT ET QUI COÛTE CHER AUX CONTRIBUABLES ET QUI COÛTE CHER AUX COLLECTIVITÉS PUBLIQUES	D ARRÊTER AVEC CHEZ MILLE FEUILLES D EMPILEMENT DE DÉCISIONS ADMINISTRATIVES ET DE LIEUX DE DÉCISION KIKUCHER AALETA AKIKOUTCHER AU CONTRIBUABLE QUI COUCHAIT EN COLLECTIVITÉ PUBLIQUE
VOUS POUVEZ FAIRE DES ÉCONOMIES SUR LA DÉPENSE DE SANTÉ HONNÊTEMENT QUAND ON VOIT LES MODALITÉS DE PRESCRIPTION	VOUS POUVEZ FAIRE DES ÉCONOMIES SUR LA DÉPENSE DE SANTÉ HONNÊTEMENT QUAND ON VOIT LES MODALITÉS DE PRESCRIPTION
TOUS LES RAPPORTS LE DISENT LES RAPPORTS DE LA COUR DES COMPTES ET MÊME LES MÉDECINS AVEC LESQUELS JE DISCUTE DISENT ON PEUT FAIRE BEAUCOUP MIEUX SUR LA PRESCRIPTION MÉDICALE	TOUS LES RAPPORTS LE DISENT LES RAPPORTS DE LA COUR DES COMPTES ET MÊME LES MÉDECINS MÉDICALES
ET ÉCONOMISER CHAQUE ANNÉE DES MILLIARDS D' EUROS DONC JE CROIS QUE PAR PARESSE INTELLECTUELLE	ET ÉCONOMISÉ CHAQUE ANNÉE DES MILLIARDS D EUROS DONT JE CROIS QUE PAR PARAY S INTELLECTUEL
AUSSI PAR UNE CERTAINE FORME DE LÂCHETÉ ON RENONCE TROP FACILEMENT À CETTE RÉDUCTION À LA DÉPENSE PUBLIQUE	AUSSI PAR UNE CERTAINE FORME DE LÂCHETÉ ON RENONCE TROP FACILEMENT À CETTE RÉDUCTION À DÉPENSE PUBLIQUE
IL FAUT QU' IL Y AIT UNE VÉRITABLE RÉVOLUTION MENTALE EN FRANCE SUR CE SUJET POUR QU' ON SE DISE	IL FAUT QU'IL Y AIT UNE VÉRITABLE RÉVOLUTION MENTALE EN FRANCE SUR CE SUJET POUR QU'ON SE DISE
LA SOLUTION C' EST PAS LES IMPÔTS LA SOLUTION C' EST LA RÉDUCTION DE LA DÉPENSE	LA SOLUTION SÉPARE LES IMPÔTS LA SOLUTION C'EST LA RÉDUCTION DE LA DÉP
IL NOUS RESTE CINQ MINUTES IL NOUS RESTE CINQ MINUTES ET JE VOUDRAIS ABSOLUMENT QUE VOUS VOUS PARLIEZ VOUS ALLEZ RÉPONDRE MAIS APRÈS JE VOUDRAIS QUE VOUS NOUS PARLIEZ D' UNE AUTRE PISTE POSSIBLE	IL NOUS RESTE CINQ MINUTES ALORS UNE GRANDE MINUTE ET JE VOUDRAIS ABSOLUMENT VOUS VOUS PARLEZ DE RÉPONDRE UNE FEUILLE AUX ÉLÉMENTS MAIS RE PRÉSIDEZ VOUS NOUS PARLER DU D UNE AUTRE PISTE POSSIBLE
QUI CONCERNE LE MARCHÉ DU TRAVAIL LA FAMEUSE FLEXIBILITÉ QU' ON POURRAIT ENVISAGER SUR LE MARCHÉ DU TRAVAIL POUR ABAISSER LE COÛT DU TRAVAIL VOUS POUVEZ RÉPONDRE (N)	QUI CONCERNE LE MARCHÉ DU TRAVAIL LA FAMEUSE FLEXIBILITÉ ON POURRAIT ENVISAGER SUR MARCHÉ DU TRAVAIL POUR ABAISSER LE COÛT DU TRAVAIL GROUPÉ RÉPONDANT DANS UN
ALORS UN MOT D' ABORD SUR LE MILLEFEUILLE	TANT AMOUREUX D ABORDIR LA MILLE FEUILLES
J' ENTENDS BIEN BRUNO LE MAIRE	J ENTREVIENS BON DE LA MER
IL Y A UNE LOI QUI VA ÊTRE ABROGÉE AUJOURD'HUI CONSEILLER TERRITORIAL MAIS QU' EST CE QUE PRÉVOYAIT CETTE LOI SOUS L' ÉGIDE DE MONSIEUR BALLADUR	Y A UNE LOI VA T'ABROGER AUJOURD'HUI CONSEILLER TERRITORIALE N'EST QUE CE QUE PRÉVOYAIT CETTE LOI SOUS L'ÉGIDE MONSIEUR BALLADUR
NON SEULEMENT ELLE A PAS DIMINUÉ LE MILLEFEUILLE MAIS ELLE L' A AUGMENTÉ EN CRÉANT LES MÉTROPOLES	NON SEULEMENT IL A PAS DIMINUELLE MES FEUILLES MAIS L'AUGMENTAIT EN CRÉANT LES MÉTROPOLES
IL Y A UN NOUVEAU MILLEFEUILLE DANS LE MILLEFEUILLE ALORS	Y À NOUVEAU MILLE FEUILLES DONT MILLE FEUILLES ALORS
VOUS SAVEZ AUJOURD'HUI LA MÉTROPOLE DE NICE JE CROIS QUE C' EST ONZE MILLE CINQ CENTS SALARIÉS VOUS L' AVEZ CRÉÉE DONC VOUS ALLEZ PAS ME DIRE AUJOURD'HUI QU' IL FAUT LE SUPPRIMER J' ENTENDS BIEN LA RÉFORME DES COLLECTIVITÉS AUJOURD'HUI IL Y A DES ÉCONOMIES À FAIRE SANS DOUTE ET CROYEZ BIEN	AUJOURD'HUI LA MÉTROPOLE DE NICE PROXIM ONZE MILLE CINQ CENTS SALARIÉS MALGRÉ LES ÉCONOMIES AFFAIRES SANS DOUTE ET CROYEZ BIEN
QUE LES COLLECTIVITÉS LE FONT MOI POUR LE BUDGET DE LA RÉGION DE BOURGOGNE JE VAIS CETTE ANNÉE BAISSER LES DÉPENSES DE SIX POUR CENT C' EST CLAIR	QUE LES COLLECTIVITÉS LE FONT MOI POUR LE BUDGET DE LA RÉGION BOURGOGNE JE VAIS SEPT ANNÉE BAISSER LES DÉPENSES DE SIX POUR SON TITULAIRE
ET C' EST CE QUE FAIT L' ÉTAT AUSSI AUJOURD'HUI DONC VOUS VOYEZ CE QUI N' A PAS ÉTÉ FAIT PAR LE PASSÉ AU NIVEAU DE L' ÉTAT MAIS CE QUE FAISAIENT DÉJÀ LES COLLECTIVITÉS	ET C'EST CE QUE FAIT L'ÉTAT AUSSI AUJOURD'HUI NORRÉ CE QUI N'A PAS ÉTÉ FAIT PAR LE PASSÉ AU NIVEAU L'ÉTAT MASQUE FAISAIT DÉJÀ LES COLLECTIVITÉS
ALORS J' AI ENTENDU UN PEU LA DÉMAGOGIE SUR LES COLLECTIVITÉS VOUS SAVEZ SUR LES	LORSQU'ENTENDUE UN PEU LA DYNAGOGIE SUR LES COLLECTIVITÉS ET SUR LES
CINQ CENTS MILLE ÉLUS ET EN FRANCE IL Y EN A QUATRE VINGT DIX POUR CENT QUI SONT BÉNÉVOLES ALORS LE RESTE	CINQ CENT MILLE ET LUERS EN FRANCE L'A QUATRE VINGT DIX POUR SENTIR BÉNÉVOL AU NORD EST
C' EST PAS ÇA QUI VA CHANGER LA DONNE DE LA COMPÉTITIVITÉ BIEN ALORS FAIRE DES ÉCONOMIES PAR AILLEURS ET	C EST PAS ÇA QUI VA CHANGER LA DONNE DE LA COMPÉTITIVITÉ BIEN ALORS FAIRE LES ÉCONOMIES PAR AILLEURS
VOUS PRONONCEZ LE MOT DE FLEXIBILITÉ C' EST IMPORTANT PARCE QU' ON L' ENTEND PAS BEAUCOUP DANS DANS LES RANGS SOCIALISTES CE MOT FLEXIBILITÉ DU MARCHÉ DU TRAVAIL	L'ÉGYPTE IMPORTANTE QU'ON N'ENTEND PAS BEAUCOUP D'HORS DANS LES RANGS SOCIALISTES JE CROIS QU'IL FAIT MASSIBILISER LE MÊME MARCHÉ DU FORMELLE
PLUS DE SOUPLESSE ET NOUS LE FAISONS DANS LES COLLECTIVITÉS DÉJÀ AVEC LES PLANS DE CONTINUITÉ PROFESSIONNELLE	PLUS DE SOUPLESSE ET NOUS LE FAISONS DANS LES COLLECTIVITÉS DÉJÀ AVEC LES PLANTES CONTINUITÉS PROFESSIONNELLES
FAIRE EN SORTE QUE DES GENS QUI NE SONT PAS AU CHÔMAGE	FAIRE EN SORT QUE DES GENS QUI NE SONT PAS AU CHÔMAGE
MAIS QUI RISQUE DEMAIN D' AVOIR DES DIFFICULTÉS POUR L' ENTREPRISE OU AUTRE	MAIS QUI RESPECTE DEMAIN D AVOIR DES DIFFICULTÉS POUR L ENTREPRISE HAUTE
FAIRE EN SORTE QU' ILS PUISSENT AVEC UN DE FAÇON INTERMÉDIAIRE ET NOUS L' AVONS SIGNÉ FIGUREZ VOUS UNE RÉGION SOCIALISTE	JE RESSORT QUI PUISSE AVEC UN DE FAÇON INTERMÉDIAIRE ET NOUS L AVONS SIGNÉ VIRO UNE RÉGION SOCIALISTE
NOUS L' AVONS SIGNÉ AVEC LE MEDEF AVEC LA CGPME AVEC TOUS LES SYNDICATS	IL A ENSEIGNÉ AVEC LE MÉDEC AVEC LA SÉCHEPEME AVEC TOUS LES SYNDICATS
JE PENSE QUE C' EST DANS LE DIALOGUE SOCIAL QU' ON TROUVERA DE LA SO() LA FLEXIBILITÉ ET NON PAS EN L' IMPOSANT AUJOURD'HUI	JE PENSE QU'IL C'EST DANS LE DIALOGUE SOCIAL CONTROUVA LA SEUIL DE LA FLEXIBILITÉ ET NON PAS EN L'IMPOSANT AUJOURD'HUI
ET DANS CE DOMAINE LÀ JE PENSE QUE À LA FOIS AVEC LA GRANDE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTE LÀ DE FAÇON INTELLIGENTE MAIS PAS SEULEMENT À DIRE AUX GENS DEMAIN ON VA BAISSER VOS SALAIRES	ET DANSE DOMAINE LÀ JE NE PENSE QUE À LA FOIS AVEC LA GRANDE CONFÉRENCE SOCIALE LE GARNEMENT A OUVERT CETTE PISTOLA DE FAÇON INTELLIGENTE MAIS PAS SEULEMENT A DIREGENT DEMAIN ON VA BLESSÉ AU SOL
CETTE FAMEUSE CONFÉRENCE À LAQUELLE VOUS FAITES RÉFÉRENCE LES LES PARTENAIRES SOCIAUX (N) SONT AUTOUR DE LA TABLE AUTOUR DU SUJET AUTOUR DE LA SÉCURISATION DU PARCOURS	CETTE FAMEUSE CONFÉRENCE À LAQUELLE VOUS FAITES RÉFÉRENCE LES LES PARTENAIRES SOCIAUX À SON TOUR LA TABLE AUTOUR DU SUJET AUTOUR LA SÉCURISATION DU PAROURS
PROFESSIONNEL ET NON PAS DE LA FLEXIBILITÉ DU MARCHÉ DU TRAVAIL MAIS C' EST À PEU PRÈS LA MÊME CHOSE	PROFESSIONNELS ET NON PAS DE LA FLEXIBILITÉ DU MARCHÉ DU TRAVAIL MAIS C EST À PEU PRÈS LA MÊME CHOSE
QU' EST CE QUE VOUS ENTENDEZ PAR FLEXIBILITÉ DU MARCHÉ DU TRAVAIL IL Y A T IL MATIÈRE À TRAVAILLER SUR CETTE PISTE POUR LÀ AUSSI ABAISSER LES COÛTS DU TRAVAIL	QU EST CE QUE VOUS ENTENDEZ PAR FLEXIBILITÉ DU MARCHÉ DU TRAVAIL Y A T IL MATIÈRE À TRAVAILLER SUR CETTE PISTE POUR LÀ AUSSI ABAISSER LES COÛTS DU TRAVAIL
C' EST PAS FORCÉMENT LE TERME QUE QUE J' EMPLOIERAIS FLEXIBILITÉ JE SAIS PAS POURQUOI JE TROUVE QUE ÇA SONNE PAS TRÈS BIEN LA SEULE CHOSE QUE JE SAIS C' EST QUE VOUS AVEZ EN FRANCE VINGT CINQ POUR CENT DE TAUX DE CHÔMAGE	TU PAS FORCÉMENT LE TERME QUE J'EN POURRAI FLEXIBILITÉ JUSQU'À POUR CE QUE ÇA SONNE PAS TRÈS BIEN ELLE A SE CHOSE QUE JE SAIS C EST QUE VOUS AVEZ EN FRANCE SE PASSE QUE LES PERSONNES CINQ POURCENT DE TOUTES CH
PARCE QUE LES FRANÇAIS PENSENT QUE ÇA DONNE PLUS DE FACILITÉ AUX AUX ENTREPRISES POUR LICENCIER LEURS SALARIÉS BEAUCOUP PLUS DE SOUPLESSE DANS LE LICENCIEMENT DES SALARIÉS C' EST COMME ÇA QUE C' EST COMPRIS	ÇA DONNE PLUS DE FACILITÉ AUX ARRÊTS VINS LICENCIÉS LORSQU'ELLE A REMIS JUSTEMENT DE SOUS LE BLAISE DANS LES LICENCIEMENTS DES SALARS OBJECTIFS N'EST PAS ET COMME ÇA C'EST COMPRIS
