BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	SONT NÉCESSAIRES FEMMES SOURIS EN DIRECT JUSQU À À DIX NEUF HEURES
QUE LES COLLECTIVITÉS LE FONT MOI POUR LE BUDGET DE LA RÉGION DE BOURGOGNE JE VAIS CETTE ANNÉE BAISSER LES DÉPENSES DE SIX POUR CENT C' EST CLAIR	QUE LES COLLECTIVITÉS LE FONT MOINS POUR LE BUDGET DE LA RÉGION BOURGOGNE J AVAIS CETTE ANNÉE BAISSER LES DÉPENSES DE SIX POURCENT C EST L AIR
ET C' EST CE QUE FAIT L' ÉTAT AUSSI AUJOURD'HUI DONC VOUS VOYEZ CE QUI N' A PAS ÉTÉ FAIT PAR LE PASSÉ AU NIVEAU DE L' ÉTAT MAIS CE QUE FAISAIENT DÉJÀ LES COLLECTIVITÉS	ET C EST CE QUE FAIT L ÉTAT AUSSI AUJOURD HUI NORREZ CE QUI N A PAS ÉTÉ FAIT PAR LE PASSÉ AU NIVEAU L ÉTAT JUSQU À DÉJÀ LES COLLECTIVITÉS
ALORS J' AI ENTENDU UN PEU LA DÉMAGOGIE SUR LES COLLECTIVITÉS VOUS SAVEZ SUR LES	L ARGENT TENDU UN PEU LA DÉMAGOGIE SUR LES COLLECTIVITÉS RAY SUR LES
CINQ CENTS MILLE ÉLUS ET EN FRANCE IL Y EN A QUATRE VINGT DIX POUR CENT QUI SONT BÉNÉVOLES ALORS LE RESTE	CINQ CENT MILLE ÉLUS EN FRANCIONNA QUATRE VINGT DIX POUR SANCTIONS BÉNÉVOLES DANS LE RESTE
C' EST PAS ÇA QUI VA CHANGER LA DONNE DE LA COMPÉTITIVITÉ BIEN ALORS FAIRE DES ÉCONOMIES PAR AILLEURS ET	C EST PASSA QUI VA CHANGER LA DONNE DE LA COMPÉTITIVITÉ BIEN ALORS FAIRE DES ÉCONOMIES PAR AILLEURS
VOUS PRONONCEZ LE MOT DE FLEXIBILITÉ C' EST IMPORTANT PARCE QU' ON L' ENTEND PAS BEAUCOUP DANS DANS LES RANGS SOCIALISTES CE MOT FLEXIBILITÉ DU MARCHÉ DU TRAVAIL	BEAUCOUP D ORDRES DANS LES RANGS SOCIALISTES JE CROIS QU IL FAIT MA SIBILITÉ MAI MARCHÉ DU FORMEL
PLUS DE SOUPLESSE ET NOUS LE FAISONS DANS LES COLLECTIVITÉS DÉJÀ AVEC LES PLANS DE CONTINUITÉ PROFESSIONNELLE	PLUS DE SOUPLESSE ET NOUS LE FAISONS DANS LES COLLECTIVITÉS DÉJÀ AVEC LES PLANTES CONTINUITÉS PROFESSIONNELLES
FAIRE EN SORTE QUE DES GENS QUI NE SONT PAS AU CHÔMAGE	FAIRE EN SORTE QUE DES GENS QU ILS NE SONT PAS AU CHÔMAGE
MAIS QUI RISQUE DEMAIN D' AVOIR DES DIFFICULTÉS POUR L' ENTREPRISE OU AUTRE	MAIS QUI RISQUE DEMAIN D AVOIR DES DIFFICULTÉS POUR L ENTREPRISE HAUTE
FAIRE EN SORTE QU' ILS PUISSENT AVEC UN DE FAÇON INTERMÉDIAIRE ET NOUS L' AVONS SIGNÉ FIGUREZ VOUS UNE RÉGION SOCIALISTE	FRANÇANT QUI PUISSE AVEC UN DE FAÇON INTERMÉDIAIRE ET NOUS L AVONS SIGNÉE ENVIRON UNE RÉGION SOCIALISTE
NOUS L' AVONS SIGNÉ AVEC LE MEDEF AVEC LA CGPME AVEC TOUS LES SYNDICATS	L ONT SIGNÉ AVEC LE MÉDOC AVEC LA CGPIE ÉMEUT AVEC TOUS LES SYNDICATS
JE PENSE QUE C' EST DANS LE DIALOGUE SOCIAL QU' ON TROUVERA DE LA SO() LA FLEXIBILITÉ ET NON PAS EN L' IMPOSANT AUJOURD'HUI	JE PENSE QUE SES GRANDS DIALOGUES SOCIALES CONTROVOISENT LA SÉRIE D INFLEXIBILITÉ ET NON PAS EN L IMPOSANT AUJOURD HUI
ET DANS CE DOMAINE LÀ JE PENSE QUE À LA FOIS AVEC LA GRANDE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTE LÀ DE FAÇON INTELLIGENTE MAIS PAS SEULEMENT À DIRE AUX GENS DEMAIN ON VA BAISSER VOS SALAIRES	ET DANS CE DOMAINE PENSE QUE À LA FOIS AVEC LA GROSSE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTOLET PENSE QUE À LA FOIS AVEC LA GROTTE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTOLET PENSE QUE À LA FOIS AVEC LA GROTTE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTOLET PENSE QUE À LA FOIS AVEC LA GROTTE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTOLET PENSE QUE À LA FOIS AVEC LA GROSSE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTOLET PENSE QUE À LA FOIS AVEC LA GROTTE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTOLET PENSE QUE À LA FOIS AVEC LA GROTTE CONFÉRENCE SOCIALE LE GOUVERNEMENT A OUVERT CETTE PISTOLET DE FAÇON INTELLIGENTE MAIS PAS SEULEMENT
CETTE FAMEUSE CONFÉRENCE À LAQUELLE VOUS FAITES RÉFÉRENCE LES LES PARTENAIRES SOCIAUX (N) SONT AUTOUR DE LA TABLE AUTOUR DU SUJET AUTOUR DE LA SÉCURISATION DU PARCOURS	CETTE FAMEUSE CONFÉRENCE À LAQUELLE OÙ FAITES RÉFÉRENCE LES LÉPARTENAIRES SOCIAUX À SON TOUR LA TABLE AUTOUR DU SUJET AUTOUR DE LA SÉCURISATION DU PARCOURS
PROFESSIONNEL ET NON PAS DE LA FLEXIBILITÉ DU MARCHÉ DU TRAVAIL MAIS C' EST À PEU PRÈS LA MÊME CHOSE	PROFESSIONNELLE ET NON PAS DE L AFFLEXIBILITÉ DU MARCHÉ DU TRAVAIL MAIS C EST À PEU PRÈS LA MÊME CHOSE
QU' EST CE QUE VOUS ENTENDEZ PAR FLEXIBILITÉ DU MARCHÉ DU TRAVAIL IL Y A T IL MATIÈRE À TRAVAILLER SUR CETTE PISTE POUR LÀ AUSSI ABAISSER LES COÛTS DU TRAVAIL	QU EST CE QUE VOUS ENTENDEZ PAR FLEXIBILITÉ DU MARCHÉ DU TRAVAIL Y A T IL MATIÈRE À TRAVAILLER SUR CETTE PISTE POUR LÀ AUSSI ABAISSER LES COÛTS DU TRAVAIL
C' EST PAS FORCÉMENT LE TERME QUE QUE J' EMPLOIERAIS FLEXIBILITÉ JE SAIS PAS POURQUOI JE TROUVE QUE ÇA SONNE PAS TRÈS BIEN LA SEULE CHOSE QUE JE SAIS C' EST QUE VOUS AVEZ EN FRANCE VINGT CINQ POUR CENT DE TAUX DE CHÔMAGE	JE PAS FORCEMENT LE TERME QUE J EMPLOIE ET FLEXIBILITÉ JE NE SUIS PAS POURVROCHE QUE CES SOMMES PAS TRÈS BIEN ELLE À SAGEUSSE QUE JE SAIS C EST QUE VOUS AVEZ EN FRANCE FAIT BASCULER PERD VINGT CINQ POURCENT DE TOUTE CHOSE CHOSE QUE JE SAIS C EST QUE VOUS AVEZ EN FRANCE S BASCULER PÈRE VINGT CINQ POURCENT DE TOUTE CHOSE CHOSE QUE JE SAIS C EST QUE VOUS AVEZ EN FRANCE S BASCULER PAGE VINGT CINQ POURCENT DE TOUTE CHOSE CHOSE QUE JE SAIS C EST QUE VOUS AVEZ EN FRANCE S BASCULER PAGE VINGT CINQ POURCENT DE TOUTE CHOSE CHOSE QUE JE SAIS C EST QUE VOUS AVEZ EN FRANCE VA BASCULER PAR VINGT CINQ POURCENT DE TOUTE CHOSE CHOSE QUE JE SAIS C EST QUE VOUS AVEZ EN
PARCE QUE LES FRANÇAIS PENSENT QUE ÇA DONNE PLUS DE FACILITÉ AUX AUX ENTREPRISES POUR LICENCIER LEURS SALARIÉS BEAUCOUP PLUS DE SOUPLESSE DANS LE LICENCIEMENT DES SALARIÉS C' EST COMME ÇA QUE C' EST COMPRIS	LES TRANSÉ PENSENT QUE ÇA DONNE PLUS DE FACILITÉ OU OBSERVER VINT LICENCIER LORSQUE L ARMÉE JUSTEMENT DE SOULE BLAISE DANS L LICENCIEMENT DES SALARIJECTIFS N EST PAS COMME ÇA QUI COMPRIS
NON MAIS VOUS VOYEZ BIEN QUE CE QUE VOUS DESSINEZ LÀ COMME HORIZON POUR LES GENS C' EST DE LEUR DIRE ON VA FAIRE UN SYSTÈME QUI PERMET DE SE DÉBARRASSER PLUS FACILE D' EUX PLUS FACILEMENT DE VOUS C' EST C' EST PAS FORCÉMENT TRÈS ENTHOUSIASMANT	OMER VOYEZ BIEN QUE CE QUE VOUS DESSINZ LA COMME HORIZON POUR LES CHANCES ET DE LEUR DIRE ON VA FAIRE UN SYSTÈME QUI PEINE SE DÉBARRASSER PLUS FACILE DE FACILEMENT NE VOUS MAIS CESSEZ PAS FORCÉMENT TRÈS ENTHOUSIASSEMENT
DONC IL FAUT QU' ON ARRIVE À INVENTER AUTRE CHOSE C' EST À DIRE UN MEILLEUR ÉQUILIBRE ENTRE AUJOURD'HUI UN DROIT DU TRAVAIL QUI EST BEAUCOUP TROP RIGIDE	AINSI QU ON ARRIVA À INVENTER AUTRE CHOSE N A INSTALLÉ UN MEILLEUR ÉQUILIBRE ENTRE AUJOURD HUI AU DROIT DU TRAVAIL ET BEAUCOUP TROP RIGIDE
DES NORMES QUI SONT BEAUCOUP TROP RIGIDES QUELS SONT LES PREMIERS À EN PÂTIR C' EST LES JEUNES ET MOI JE TROUVE ÇA INSUPPORTABLE D' AVOIR	DES NORMES SONT BOUTRO RIGIDES QU ELLES SONT LES PREMIERS EMBATHIES CÉLÉ JEUNES ET MOI JE TROUSSAINS INSUPPORTABLES D AVOIR UN
PLUS DE VINGT CINQ POUR CENT DE TAUX DE CHÔMAGE DES JEUNES DES CHIFFRES ENCORE PLUS ÉLEVÉS POUR CEUX QUI SONT PAS QUALIFIÉS	PLUS DE VINGT CINQ POURCENT TOUTE CHÔMAGE DES JEUNES DÉCHIRE ENCORE PLUS ÉLEVÉS POUR CE QUI SONT PAS QUALIFIÉS
ET PUIS DES SITUATIONS TRÈS CONCRÈTES QU' ON VOIT FRANÇOIS PATRIAT COMME MOI DANS NOS CIRCONSCRIPTIONS DANS NOS DÉPARTEMENTS C' EST À DIRE DES	ETPUIS DES SITUATIONS TRÈS CONCRÈTES ON VOIT FRANÇOIS PATRIA COMME MOINS DANS NOS CIRCONSCRIPTIONS DANS LE DÉPARTEMENT CE GENRE DES
ENTREPRISES DE DIX NEUF SALARIÉS QUI N' EMBAUCHERONT PAS LE VINGTIÈME UN JEUNE	LES ENTREPRISES DE DIX NEUF SALARIÉS QUI N EMBOUCHERONT PAS LE VINGTIÈME UN JEUNE
PARCE QUE SINON ILS VONT FRANCHIR UN SEUIL ET QUE C' EST DES OBLIGATIONS SUPPLÉMENTAIRES SUPPRIMONS CES OBLIGATIONS	PARCE QUE SINON IL MONFRANCHIR UN SEUIL ET SES OBLIGATIONS SUPPLÉMENTAIRES SUPPRIMANT CES OBLIGATIONS
ET OU QUI NE VONT PAS EMBAUCHER UN JEUNE QUI EST EN INTÉRIM OU QUI EST EN CDD PARCE QUE LE CDI EST TROP VERROUILLÉ	LES GROUPES QUI NERONT PAS EMBAUCHER UN JEUNE QUI ÉTAIT EN INTÉRIM OU QUE DANS SES D AIDER PARCE QUE LE CDIE EST TROP VERROUILLÉ
ET FAIT PESER UNE MENACE SI JAMAIS LA CONJONCTURE	IL FAIT PESER UNE MENACE SI JAMAIS LA CONJONCTURE
DEVIENT PLUS DÉFAVORABLE ET QUI SONT OBLIGÉS DE RÉDUIRE UN PETIT PEU LA VOILURE DONC ON DOIT TROUVER DES SOLUTIONS À ÇA	IL DEVIENT PLUS DÉFAVORABLE QU ILS SONT LUI DE RÉDUIRE ANTIPE LA VOILURE DONT ON DOIT TROUVER DES SOLUTIONS À ÇA
IL FAUT SURTOUT PAS QU' ON RESTE BORNÉ FERMÉ ACCROCHÉ À UN CERTAIN NOMBRE DE CHOSES IL FAUT FAIRE ÉVOLUER	VOUS SURTOUT PAS QU ON RESTE BORNÉ FERMÉ ACCROCHÉ À SON TOMBEAU DE CHOSES IL FAUT FAIRE ÉVOLUER
DANS L' INTÉRÊT ET DES ENTREPRISES ET DES SALARIÉS POUR QUE L' ENTREPRISE PUISSE AJUSTER À LA CONJONCTURE À LA DEMANDE	DANS L INTÉRÊT ET DES ENTREPRISES ET DES SALARIÉS POUR QUE L ENTREPRISE PUISSE AJUSTER À LA CONJONCTURE À LA DEMANDE
LE NOMBRE DE SALARIÉS DONT ELLE DISPOSE ET QU' EN MÊME TEMPS LE SALARIÉ C' EST LÀ QUE J' AIME PAS LE CÔTÉ ON VA SE DÉBARRASSER PLUS FACILEMENT DE LUI NON	LE NOMBRE DE SALARIÉS D ELLES DISPOSE ET QU EN MÊME TEMPS SALARIÉS C EST LÀ QUE J AIME PAS LE CÔTÉ AU VASTEUSE DÉBARRASSÉE PLUS FACILEMENT LUI NON
QUE LE SALARIÉ LUI PUISSE ÊTRE ACCOMPAGNÉ MIS EN CHÔMAGE TECHNIQUE COMME LE FONT PAR EXEMPLE LES ALLEMANDS	QUE SALARIÉS LUI PUISSE ÊTRE ACCOMPAGNÉ MIS EN CHÔMAGE TECHNIQUE COMME LE FONT PAR EXEMPLE LES ALLEMANDS
OU PROFITE D' UNE PÉRIODE DE FORMATION À CE MOMENT LÀ POUR QUE CHACUN SOIT GAGNANT DANS CETTE AFFAIRE LÀ LES ENTREPRISES	OÙ PROFITE D UNE PÉRIODE DE FORMATION À CE MOMENT LÀ POUR QUE CHACUN SOIT GAGNANT DANS CET AFFAIRE LÀ LES ENTREPRISES
COMME LES JEUNES QUI AUJOURD'HUI NE TROUVENT PAS DE PLACE SUR LE MARCHÉ DU TRAVAIL	COMME LES JEUNES QUI AUJOURD HUI TROUVENT PAS DE PLACE AU MARCHÉ DU TRAVAIL
FRANÇOIS PATRIAT POUR VOTRE CONCLUSION ET POUR RÉPONDRE DIRECTEMENT AUX AUX PISTES ÉVOQUÉES À L' INSTANT MÊME PAR BRUNO LE MAIRE SUR	FRANÇOIS PATRIA POUR VOTRE CONCLUSION EST POUR RÉPOND DIRECTEMENT AUX OPUS DE VOMIGAL INSTAMENT PAR BONOLOMER
JE N' Y CROIS PAS BEAUCOUP PARCE QUE JE ME SOUVIENS DE CE QUE DISAIT À UNE ÉPOQUE UN PATRON	JE NE CROIS PAS BEAUCOUP PARCE QUE JE ME SOUVIENS D UTILISER À UNE ÉPOQUE À PATRONNE
DU MEDEF C' ÉTAIT PAS LE MEDEF À L' ÉPOQUE IL DISAIT LAISSEZ NOUS LICENCIER ET NOUS ALLONS CRÉER AUTANT BEAUCOUP D' EMPLOIS EN FRANCE	DUMEDOFT EST PAR LES TÉLÉVISÉS LAISSEZ NOUS LICENCIER ET NOUS ALLONS CRÉER AUTANT BEAUCOUP D EMPLOIS EN FRANCE
DES MILLIERS D' EMPLOIS ON A VU CE QUE ÇA A DONNÉ À L' ÉPOQUE NON POUR REVENIR À LA COMPÉTITIVITÉ MOI JE NE MÉCONNAIS PAS	DIX MILLIERS D EMPLOIS ON N A VU QUE ÇA DONNER À L ÉPOQUE DONT POUR VENIR À LA COMPÉTITIVITÉ MOI JE NE ME CONNAIS PAS
QU' IL Y A DES CHARGES SUR LE TRAVAIL QU' IL FAUT AUJOURD'HUI COMPENSER ET DIMINUER PAR LES VOIES QUE NOUS AVONS ÉVOQUÉES	QU IL Y A DES CHARGES SUR LE TRAVAIL QU IL FAUT AUJOURD HUI COMPENSER ET DIMINUER PAR LES VOIX QUE NOUS AVONS ÉVOQUÉ
MAIS CE QU' ATTENDENT LES CHEFS D' ENTREPRISES EN MATIÈRE DE COMPÉTITIVITÉ	MAIS CE CATANT L ÉCHELLE D ENTREPRISE EN MATIÈRE DE COMPÉTITIVITÉ
C' EST QUOI AUJOURD'HUI DE POUVOIR ÊTRE ACCOMPAGNÉ DANS LEUR FINANCEMENT ON VA LE FAIRE AVEC LA BPI	C EST QUOI AUJOURD HUI NE POUVOIR ÊTRE ACCOMPAGNÉ DANS LEUR FINANCEMENT ON VA LE FAIRE AVEC LA BÉ PAYS
ACCOMPAGNÉ DANS LA FORMATION ON LE FAIT DANS LES RÉGIONS AUJOURD'HUI EN PARTICULIER ACCOMPAGNÉ DANS LA RECHERCHE IL Y A UNE FAÇON OFFENSIVE	ACCOMPAGNÉ DANS LA FORMATION EN LE FAIT DANS LES RÉGIONS AUJOURD HUI EN PARTICULIER ACCOMPAGNÉE DANS LA RECHERCHE ET UNE FAÇON OFFENSIVE
LE CRÉDIT IMPÔT RECHERCHE MOI JE PENSE QU' IL FAUT AUJOURD'HUI LE RECENTRER	LE CRÉDIT A POUR RECHERCHE JE PENSE QU IL FONT AUJOURD HUI LE RECENTRER
SUR LES PME POUR QU' ELLES DEVIENNENT DES ETI DEMAIN (N) POUR QU' ELLES DEVIENNENT DEMAIN DES ENTREPRISES INTERMÉDIAIRES	SUR LES PÊMES POUR QU ELLES DEVIENNENT DES EUTHÉIDES MAINTENANT LE VIENDEMA DES ENTREPRISES INTERMÉDIAIRES
SUR LE FINANCEMENT SUR L' INNOVATION VOUS L' AVEZ DIT DANS DES DOMAINES AUSSI VRAIS QUE LES NANOTECHNOLOGIES L' OPTIQUE LES NOUVELLES BEAUCOUP DE THÉORIES TECHNOLOGIES AUJOURD'HUI ET DE RECHERCHE ET L' INNOVATION C' EST ÇA QU' ILS ATTENDENT	SUR LE FINANCEMENT SUR L INNOVATION VOULAVIGANT DES DOMAINES OÙ CIVRAIENT QUE LES NANOTECHNOLOGIES L OPTIQUENT LES NOUVEAUX POUR COÛTÉS RE TECHNOLOGIES AUJOURD HUI ET DE RECHERCHES ET L INNOVATION SAXATENTE
ILS ATTENDENT CE DOMAINE LÀ AUJOURD'HUI ET PUIS DERNIÈRE CHOSE VOUS SAVEZ SALAIRE UN BON SALAIRE N' EST PAS	ILS ATTENDENT CEUX DE SE DOMAINE L AUJOURD HUI PUIS DERNIÈRE CHOSE ET UN SALAIRE À MON SALAIRE N EST PAS
ANTINOMIQUE DE COMPÉTITIVITÉ J' AI VISITÉ L' USINE DE MAROQUINERIE DE MON TERRITOIRE QUI { PAYE / PAIE } TRÈS BIEN SES SALARIÉS ET QUI AUJOURD'HUI EXPORTE MERVEILLEUSEMENT BIEN	ANTINOMIQUE DE COMPÉTIVITÉS J Y VISITAIS L USINE DE MAROKINERIE MON TERRITOIRE QUI PAYE TRÈS BIEN SES SALARIÉS ET QUI AUJOURD HUI EXPORTENT MARIEUSEMENT BIEN
ET BIEN ON VA NOTER ON VA RESTER SI VOUS VOULEZ BIEN SUR CETTE NOTE POSITIVE MERCI GRAND MERCI À TOUS LES DEUX D' AVOIR PARTICIPÉ À CE PILE ET FACE PROCHAIN PILE ET FACE ÇA SERA LA SEMAINE PROCHAINE À LA MÊME PLACE ET À LA MÊME HEURE BIEN SÛR À BIENTÔT	UNE VOLONTÉ POUR ARRESTISSE VOUS VOULEZ BIEN SUR CETTE NOTE POSITIVE MERCIER COMMERCIER TOUS LES DEUX D AVOIR PARTICIPÉ À CE PILET FACE PROCHAIN REPRIT FACE À LA SEMAINE PROCHAINE À LA MÊME PLACE ET À LA MÉMURE BIEN SÛR À BIENTÔT
PROJET CONTRE PROJET IDÉE CONTRE IDÉE BIENVENUE DANS PILE ET FACE AVEC CÔTÉ PILE CETTE SEMAINE L' ANCIEN MINISTRE ENTRE AUTRES DE L' ÉCOLOGIE DE L' ÉNERGIE DU DÉVELOPPEMENT DURABLE	PROJET CONTRE PROJET IL EST CONTRIBUÉ BIENVENU DANS PIS LES FACES AVEC CÔTÉ PILES CETTE SEMAINE L ANCIEN MINISTRE ENTRE AUTRES DE L ÉCOLOGIE DE L ÉNERGIE DU DÉVELOPPEMENT DURABLE
ET DE L' AMÉNAGEMENT DU TERRITOIRE PRÉSIDENT DU PARTI ET DU GROUPE DE L' UNION DES DÉMOCRATES ET INDÉPENDANTS À L' ASSEMBLÉE NATIONALE ET DÉPUTÉ DU NORD JEAN LOUIS BORLOO	ET DE L AMÉNAGEMENT DU TERRITOIRE PRÉSIDENT DU PARTI ET DU GROUPE DE L UNION DES DÉMOCRATES ET INDÉPENDANTS À L ASSEMBLÉE NATIONALE ET DÉPUTÉE DU NORD JEAN LOUIS BORLOO
CÔTÉ FACE LE PRÉSIDENT DU GROUPE SOCIALISTE RÉPUBLICAIN ET CITOYEN DE L' ASSEMBLÉE NATIONALE ET DÉPUTÉ DE SEINE SAINT DENIS BRUNO LE ROUX SOUPÇON D' AMATEURISME MAUVAIS CHIFFRES DU CHÔMAGE	CÔTÉ FACE LE PRÉSIDENT DU GROUPE SOCIALISTE RÉPUBLICAIN CITOYEN DE L ASSEMBLÉE NATIONALE DES DÉPUTÉS DE SEINE SAINT DENIS BRUNO LEROUX SOUPÇON D AMATEURISME MAUVAIS CHIFFRE DU CHÔMAGE
C' EST DANS CE CONTEXTE QUE LE GOUVERNEMENT DÉFEND SA POLITIQUE BUDGÉTAIRE À L' ASSEMBLÉE NATIONALE OBJECTIF AFFICHÉ LE REDRESSEMENT COÛTE QUE COÛTE DES COMPTES PUBLICS	C EST DANS CE CONTEXTE QUE LE GOUVERNEMENT DÉFEND SA POLITIQUE BUDGÉTAIRE À L ASSEMBLÉE NATIONALE OBJECTIF AFFICHÉ LE REDRESSEMENT COÛT QUE COÛTE DES CONTES PUBLICS
POUR Y PARVENIR VINGT MILLIARDS D' IMPÔTS SUPPLÉMENTAIRES ET DIX MILLIARDS D' ÉCONOMIES EN DEUX MILLE TREIZE L' AUSTÉRITÉ EST DONC PLUS QUE JAMAIS DE MISE MAIS PERMETTRA TELLE SEULEMENT DE RETROUVER	POUR Y PARVENIR VINGT MILLIARDS D IMPÔTS SUPPLÉMENTAIRES ET DIX MILLIARDS D ÉCONOMIES EN DEUX MILLE TREIZE L AUSTÉRITÉ ET DONC PLUS JAMAIS DE MISE MAIS PERMETTRAIT ELLES SEULEMENT DE RETROUVER
LE CHEMIN DE LA CROISSANCE EN REDONNANT NOTAMMENT DU SOUFFLE À LA COMPÉTITIVITÉ DE NOS ENTREPRISES (H) BIEN MESSIEURS NOUS ALLONS AVOIR TRENTE MINUTES POUR EN DÉBATTRE	LE CHEMIN DE LA CROISSANCE EN REDONNANT NOTAMMENT DU SOUFFLE À LA COMPÉTITIVITÉ DE NOS ENTREPRISES ET BIEN MESSIEURS NOUS ALLONS AVOIR TRENTE MINUTES POUR EN DÉBATTRE
	NOUS SOMMES GOUVERNEURS
LA PIÈCE TOMBE SUR FACE C' EST DONC VOUS BRUNO LE ROUX QUI ALLEZ ENTAMER CE DÉBAT C' EST VOUS JEAN LOUIS BORLOO QUI ALLEZ LE LE CONCLURE BRUNO LE ROUX TOUT D' ABORD LE CONTEXTE POLITIQUE DU MOMENT SI VOUS LE VOULEZ BIEN	LA PIÈCE TOMBE SURFACE C EST DONC VOUS BRUNO LE MOÛT QUI ALLAIT ENTAMER CE DÉBAT S ÉVOLUANT LUI BON LEQUEL ÉLÈVE LE CONCLURE BRUNO LEROUX TOUT D ABORD LE CONTEXTE POLITIQUE DU MOMENT SI VOUS LE VOULEZ BIEN
QUE RÉPONDEZ VOUS AUJOURD'HUI À CEUX QUI ACCUSENT LE GOUVERNEMENT D' AMATEURISME	QUE RÉPONDEZ VOUS AUJOURD HUI À CE QUI ACCUSE LE GOUVERNEMENT D AMATORISME
QUE TOUTE DEPUIS MAINTENANT QUATRE MOIS QUE VOUS PROUVEZ PRENDRE CHAQUE DOMAINE ET L' ÉMISSION N' Y SUFFIRAIT PAS NOUS SOMMES EN TRAIN DE GÉRER LES URGENCES CAR IL Y A DANS UNE PÉRIODE DE CRISE DES URGENCES ABSOLUMENT DANS TOUS LES DOMAINES DU LOGEMENT	OÙ TOUTE DEPUIS MAINTENANT QUATRE MOIS QUE VOUS PROUVEZ PRENDRE CHAQUE DOMAINE L ÉMISSION N Y SUFFIRAIT PAS NOS SOMMES EN TRAIN DE GÉRER LES URGENCES CAR IL Y A DANS UNE PÉRIODE CRISE DES URGENCES ABSOLUMENT DANS TOUS LES DOMAINES DU LOGEMENT
QUI CONCERNE LE TEXTE QUI VIENT D' ÊTRE RETOQUÉ PAR LE CONSEIL CONSTITUTIONNEL À L' ÉDUCATION EN PASSANT BIEN ENTENDU PAR LA FISCALITÉ PAR L' ENVIRONNEMENT IL Y A DES URGENCES ET EN MÊME TEMPS QUE NOUS GÉRONS CES URGENCES NOUS SOUHAITONS ENTAMER DES RÉFORMES QUI SONT DES RÉFORMES DE FOND	QUI CONCERNE LE TEXTE QUI VIENT D ÊTRE RETOCÉ PAR LE CONSEIL CONSTITUTIONNEL À L ÉDUCATION PASSANT BIEN ENTENDU PAR LA FISCALITÉ PAR L ENVIRONNEMENT YA LES URGENCES ET EN MÊME TEMPS QUE NOUS GÉRONS SES URGENCES NOUS SOUHAITONS ENTAMER DES RÉFORMES QUI SONT DES RÉFORMES DE FOND
QUI PARFOIS POURRAIT	PARFOIS POURRAIENT
CAS PRÉSENT SUR LE TEXTE LOGEMENT VOUS SAVEZ IL SUFFIT LE GOUVERNEMENT ÉTAIT PRÊT IL A VOULU INSCRIRE TRÈS TÔT UN TEXTE QUI ÉTAIT NÉCESSAIRE POUR DONNER DES NOUVEAUX MOYENS EN COLLECTIVITÉ TERRITORIALE ET IL Y A EU DANS NOTRE RÈGLEMENT UN TEXTE QUI EST PASSÉ EN COMMISSION ET QUI N' A PAS BOUGÉ EN COMMISSION	À PRÉSENT SUR LE TEXTE LOGEMENT SAVEZ IL SUFFIT LE GOUVERNEMENT ÉTAIT PRÊT IL A VOULU INSCRIRE TRÈS TÔT UN TEXTE QUI ÉTAIT NÉCESSAIRE POUR DONNER DES NOUVEAUX MOYENS AUX COLLECTIVITÉS TERRITORIALES ET IL Y A EU DANS NOTRE RÈGLEMENT À TEXTE QUI PASSAIT EN COMMISSION QUI N A PAS BOUGÉ EN COMMISSION
S' IL AVAIT ÉVOLUÉ LA PROCÉDURE AURAIT ÉTÉ RESPECTÉE PEUT ÊTRE QUE LE TEXTE DU GOUVERNEMENT ÉTAIT TROP BON ET QUE C' EST CELA QUI NOUS A AUJOURD'HUI OBLIGÉ À UN REPORT PUISQUE LE TEXTE SERA RÉINSCRIT À L' ASSEMBLÉE LE VINGT NOVEMBRE DÈS NOS DÉBATS SUR LE PROJET DE LOI DE FINANCES TERMINÉS	S IL AVAIT ÉVOLUÉ LA PROCÉDURE AURAIT ÉTÉ RESPECTÉE PEUT ÊTRE LE TEXTE DU GOUVERNEMENT ÉTAIT TROP BON ET SES CELA QUI NOUS A AUJOURD HUI OBLIGÉES À UN REPORT PUISQUE LE TEXTE SERA RÉINSCRIT À L ASSEMBLÉE LEVANT NOVEMBRE DÈS NOS DÉBATS SUR LE PROJET DE VOTE FINANCE THERMIER
JEAN LOUIS BORLOO EST CE QUE VOUS ENTENDEZ CE QUE DIT BRUNO LE ROUX À PROPOS DE DE CE SOUPÇON D' AMATEURISME	JEAN LOUIS BORLOS QUE VOUS ENTENDEZ CE QUEDI BRUNO LEROUX À PROPOS DE CE SOUPÇON D AMATEURISME
